model,case,load_fraction,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_xz_MPa,sigma_yz_MPa,local_normal_MPa,local_shear1_MPa,local_shear2_MPa,a_over_L0,s1_over_L0,s2_over_L0,delta_a_angstrom,delta_s1_angstrom,delta_s2_angstrom,local_normal_opening_over_h,conjugate_work_eV_cell,force_residual,minimum_H,local_equilibrium_verified,dynamic_plasticity_inferred
source_Al99_only,shear_xy10MPa,-0.5,-0.0,-0.0,-0.0,-5.0,-0.0,-0.0,-3.333333333333334,-1.0054596118081233e-16,2.3570226039551585,0.816476822050243,-1.3579407881153556e-17,6.808982638357235e-05,-6.162738387957578e-05,-3.2411916552177576e-17,0.00019499445076045783,-2.6355990127648505e-05,2.9480995219442493e-08,1.6225898662874938e-14,4.393090859624093,True,False
source_Al99_only,shear_xy10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260686,-2.2717888288473965e-18,3.703120333245157e-15,-1.589718614417322e-15,-2.935540279003759e-20,1.0226066622128668e-14,-6.798699777552591e-16,0.0,1.664405989591557e-14,4.393546621110327,True,False
source_Al99_only,shear_xz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260692,-2.2615382587845332e-18,1.322951217031349e-16,0.0,0.0,0.0,0.0,0.0,4.0024300145742074e-15,4.39354662111037,True,False
source_Al99_only,shear_xz10MPa,0.5,0.0,0.0,0.0,0.0,5.0,0.0,3.333333333333334,-2.041241452319315,1.1785113019775795,0.8165198696919564,-5.8996502002634715e-05,3.4061646312490334e-05,6.165169756766658e-05,-0.0001689531478610059,9.754514539767681e-05,2.636638828643681e-05,2.949460207197233e-08,1.0575253780314986e-14,4.391953090821448,True,False
source_Al99_only,shear_xz10MPa,1.0,0.0,0.0,0.0,0.0,10.0,0.0,6.666666666666668,-4.08248290463863,2.357022603955159,0.816541406394572,-0.00011802208129116616,6.814008040401417e-05,0.0001233281288461585,-0.0003379895667434643,0.00019513836734293485,5.27433543614685e-05,1.1800581154573399e-07,1.2433847354498262e-14,4.3903570180377045,True,False
source_Al99_only,shear_xz10MPa,0.5,0.0,0.0,0.0,0.0,5.0,0.0,3.333333333333334,-2.041241452319315,1.1785113019775795,0.8165198696919569,-5.899650200467141e-05,3.406164631348397e-05,6.165169756893836e-05,-0.00016895314786683854,9.754514540052237e-05,2.6366388286980708e-05,2.949460207283671e-08,2.2598839032744733e-15,4.391953090821402,True,False
source_Al99_only,shear_xz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260694,4.3296390358082654e-16,9.328312057719852e-17,6.358874457669288e-16,1.246390988142286e-15,-1.1172188470241773e-16,2.7194799110210365e-16,0.0,4.747838632583785e-15,4.393546621110351,True,False
source_Al99_only,shear_xz10MPa,-0.5,-0.0,-0.0,-0.0,-0.0,-5.0,-0.0,-3.333333333333334,2.041241452319315,-1.1785113019775795,0.8164768220502436,5.896751938468798e-05,-3.4044913190073515e-05,-6.162738387766812e-05,0.0001688701479479878,-9.749722537589254e-05,-2.635599012683266e-05,2.948099521824973e-08,1.5942108744226857e-15,4.39309085962412,True,False
source_Al99_only,shear_xz10MPa,-1.0,-0.0,-0.0,-0.0,-0.0,-10.0,-0.0,-6.666666666666668,4.08248290463863,-2.357022603955159,0.8164553109354389,0.00011790604421294174,-6.807308636541383e-05,-0.0001232305372324209,0.00033765726179370704,-0.00019494651099076943,-5.2701617661866975e-05,1.1789678349435606e-07,4.824374406908749e-15,4.392636333100895,True,False
source_Al99_only,shear_xz10MPa,-0.5,-0.0,-0.0,-0.0,-0.0,-5.0,-0.0,-3.333333333333334,2.041241452319315,-1.1785113019775795,0.816476822050243,5.8967519386999094e-05,-3.4044913191180166e-05,-6.162738387957578e-05,0.00016887014795460633,-9.749722537906175e-05,-2.6355990127648505e-05,2.9480995219296092e-08,1.3440637491868301e-14,4.393090859624104,True,False
