seed,axis,parts,block,plane,duration_ps,signed_loss_A2_eV
49277,0,2,0,3,950.0,-2.8086144930727695e-06
49277,0,2,0,4,950.0,-1.8217747263145725e-06
49277,0,2,0,5,950.0,3.3681488093513543e-06
49277,1,2,0,0,950.0,-6.600386495891925e-05
49277,1,2,0,1,950.0,8.2444056295193e-05
49277,1,2,0,2,950.0,-2.483272535439922e-05
49277,1,2,0,3,950.0,2.5758300614776073e-05
49277,1,2,0,4,950.0,-1.560224448048543e-05
49277,1,2,0,5,950.0,-1.7635221161651328e-06
49277,0,2,1,0,950.0,-8.144414236084794e-06
49277,0,2,1,1,950.0,8.464021500679591e-06
49277,0,2,1,2,950.0,-5.3705211797186096e-06
49277,0,2,1,3,950.0,-4.623429489156253e-06
49277,0,2,1,4,950.0,2.617358188658157e-06
49277,0,2,1,5,950.0,7.056985215621876e-06
49277,1,2,1,0,950.0,-9.949206119814658e-06
49277,1,2,1,1,950.0,2.451856203989944e-05
49277,1,2,1,2,950.0,1.9549621157943683e-05
49277,1,2,1,3,950.0,-4.2515993413347476e-05
49277,1,2,1,4,950.0,-1.6534635279374544e-05
49277,1,2,1,5,950.0,2.4931651614693565e-05
49277,0,4,0,0,475.0,3.867042048398174e-06
49277,0,4,0,1,475.0,-1.1414931835031953e-07
49277,0,4,0,2,475.0,-2.6279787058752217e-07
49277,0,4,0,3,475.0,-1.567411217351163e-05
49277,0,4,0,4,475.0,-1.2879810401047873e-06
49277,0,4,0,5,475.0,1.3471998354156104e-05
49277,1,4,0,0,475.0,-9.056183670656371e-05
49277,1,4,0,1,475.0,0.00010246495145458402
49277,1,4,0,2,475.0,-3.5304724349748943e-05
49277,1,4,0,3,475.0,-2.1945779665210354e-05
49277,1,4,0,4,475.0,3.492551149219356e-05
49277,1,4,0,5,475.0,1.0421877774745481e-05
49277,0,4,1,0,475.0,-2.18705638505459e-05
49277,0,4,1,1,475.0,-3.254606390541104e-06
49277,0,4,1,2,475.0,2.4159556201698732e-05
49277,0,4,1,3,475.0,1.0056883187366052e-05
49277,0,4,1,4,475.0,-2.35556841252442e-06
49277,0,4,1,5,475.0,-6.735700735453353e-06
49277,1,4,1,0,475.0,-4.144589321127462e-05
49277,1,4,1,1,475.0,6.242316113580175e-05
49277,1,4,1,2,475.0,-1.4360726359049346e-05
49277,1,4,1,3,475.0,7.346238089476244e-05
49277,1,4,1,4,475.0,-6.61300004531645e-05
49277,1,4,1,5,475.0,-1.3948922007075784e-05
49277,0,4,2,0,475.0,-8.499133291166856e-06
49277,0,4,2,1,475.0,1.9426075837012356e-06
49277,0,4,2,2,475.0,6.573890379716618e-06
49277,0,4,2,3,475.0,-1.3286346466845859e-05
49277,0,4,2,4,475.0,1.5697320454909745e-06
49277,0,4,2,5,475.0,1.16992497491039e-05
49277,1,4,2,0,475.0,4.589181043213776e-05
49277,1,4,2,1,475.0,0.00012045070912292942
49277,1,4,2,2,475.0,8.328666555942012e-05
49277,1,4,2,3,475.0,-7.720461539698377e-05
49277,1,4,2,4,475.0,-0.00010590382653945329
49277,1,4,2,5,475.0,-6.652074317805004e-05
49277,0,4,3,0,475.0,-7.78969518100267e-06
49277,0,4,3,1,475.0,1.4985435417657916e-05
49277,0,4,3,2,475.0,-1.7314932739153794e-05
49277,0,4,3,3,475.0,4.039487488533447e-06
49277,0,4,3,4,475.0,3.6649843318253134e-06
49277,0,4,3,5,475.0,2.414720682139796e-06
49277,1,4,3,0,475.0,-6.579022267176704e-05
49277,1,4,3,1,475.0,-7.141358504313051e-05
49277,1,4,3,2,475.0,-4.41874232435328e-05
49277,1,4,3,3,475.0,-7.827371429710888e-06
49277,1,4,3,4,475.0,7.283455598070428e-05
49277,1,4,3,5,475.0,0.00011638404640743675
