candidate,observable,target,prediction,scale,units,role,normalized_residual
cubic_5pct,saddle_Haa,12.717337762538286,18.27343201537403,1.2717337762538286,eV/L0^2,heldout,4.368913019832219
cubic_5pct,saddle_Hxx,-0.18642463121762062,0.32329736692662636,0.018642463121762064,eV/L0^2,heldout,27.341987741374634
cubic_5pct,fault_Haa,14.140554350039636,18.456191818885127,1.4140554350039638,eV/L0^2,heldout,3.051957767718911
cubic_5pct,fault_Hxx,2.4858929774856264,1.8936445921870897,0.24858929774856264,eV/L0^2,heldout,-2.3824371791643677
bulk_exact,normal_strain_force_ev,0.0,-5.3290705182007514e-14,0.1,eV/strain,exact,-5.329070518200751e-13
bulk_exact,cohesive_ev_atom,3.36,3.3599999999999595,0.0672,eV/atom,exact,-6.013708050052932e-13
bulk_exact,C11_GPa,113.99999999999996,113.99999999999932,5.699999999999998,GPa,fit,-1.1219095827791059e-13
bulk_exact,C12_GPa,62.000000000000014,62.0,3.100000000000001,GPa,fit,-4.584146682323225e-15
bulk_exact,C44_GPa,32.0,32.000000000000455,1.6,GPa,fit,2.8421709430404007e-13
bulk_exact,perfect_Haa,19.66091286328976,23.44200711477407,1.9660912863289761,eV/L0^2,fit,1.9231529470558066
bulk_exact,perfect_Hxx,4.393593035123306,4.710392303479651,0.43935930351233066,eV/L0^2,fit,0.7210482760323608
bulk_exact,saddle_energy_at_source_state,0.07624909750742465,0.018433405092223243,0.007624909750742465,eV/cell,fit,-7.582475636458738
bulk_exact,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.009334077635035243,0.03173805605024358,eV/L0,fit,0.2940973328756257
bulk_exact,fault_energy_at_source_state,0.06670794504308616,0.014692477118469327,0.006670794504308616,eV/cell,fit,-7.797492171437815
bulk_exact,fault_normal_force_at_source_state,5.29078226360765e-15,0.2918968016635759,0.03173805605024358,eV/L0,fit,9.197059870380134
bulk_exact,saddle_path_force_at_source_state,2.296700476743968e-16,0.02921995758324769,0.03173805605024358,eV/L0,fit,0.9206599653422443
bulk_exact,opening_1.1h_energy,0.05670265774764735,0.03789172916756689,0.005670265774764736,eV/cell,fit,-3.3174685856521324
bulk_exact,opening_1.5h_energy,0.4710312483934004,0.3928072389938979,0.04710312483934004,eV/cell,fit,-1.6606968150480452
bulk_exact,opening_2h_energy,0.7060534019484034,0.628325591224085,0.07060534019484034,eV/cell,fit,-1.1008772213238127
bulk_exact,opening_40h_energy,0.7719163228888833,0.7718132660460135,0.07719163228888834,eV/cell,fit,-0.0013350779069437385
bulk_exact,direct_quarter_energy,0.117221996542065,0.22477293388005282,0.0117221996542065,eV/cell,heldout,9.174979143047889
bulk_exact,direct_half_energy,0.26732847628894163,0.6871633792853489,0.026732847628894163,eV/cell,heldout,15.704832826811508
bulk_exact,oblique_energy,0.13339289745734875,0.05568410501622112,0.013339289745734876,eV/cell,heldout,-5.825556976597975
bulk_exact,opening_1.25h_energy,0.24853683654490819,0.12929191563248832,0.02485368365449082,eV/cell,heldout,-4.797877150531505
bulk_exact,opening_3h_energy,0.7719163228888833,0.006016165045688027,0.07719163228888834,eV/cell,heldout,-9.92206195325456
bulk_exact,saddle_Haa,12.717337762538286,22.190292610206427,1.2717337762538286,eV/L0^2,heldout,7.4488505570504016
bulk_exact,saddle_Hxx,-0.18642463121762062,1.1654492815336877,0.018642463121762064,eV/L0^2,heldout,72.51584213532459
bulk_exact,fault_Haa,14.140554350039636,12.929568068610934,1.4140554350039638,eV/L0^2,heldout,-0.8563923672662155
bulk_exact,fault_Hxx,2.4858929774856264,1.6760223306849724,0.24858929774856264,eV/L0^2,heldout,-3.257866103390353
