model,span_um,shear_MPa,endpoint_angle_rad,maximum_bow_nm,swept_area_m2,state
historical_candidate,0.5,2.0,0.03347275093797938,4.179668593100714,1.3935360872142125e-15,reversible subcritical outer-elastic bow; NOT 0.2% yield
v11_bulk_exact_not_adopted,10.0,4.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
v11_bulk_exact_not_adopted,10.0,10.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
v11_bulk_exact_not_adopted,10.0,25.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
v11_bulk_exact_not_adopted,10.0,50.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,0.5,2.0,0.048789820779219645,6.097614015242862,2.032810499797095e-15,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,0.5,4.0,0.09792099366478942,12.231174029083531,4.0800082451303965e-15,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,0.5,10.0,0.2510660683164422,31.238374572167338,1.0465286447045733e-14,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,0.5,25.0,0.7830762343505365,94.07142184279765,3.2799611856521957e-14,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,0.5,50.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,1.0,2.0,0.08953324035521286,22.369609605447845,1.492194892873504e-14,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,1.0,4.0,0.1812066926437284,45.19028004202112,3.020557346129178e-14,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,1.0,10.0,0.49808583816586766,122.47456073348825,8.323501627622175e-14,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,1.0,25.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,1.0,50.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,2.0,2.0,0.16661438461980677,83.13333493261584,1.1108852530351527e-13,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,2.0,4.0,0.3478104398710024,172.4219508955531,2.321093114918162e-13,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,2.0,10.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,2.0,25.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,2.0,50.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,5.0,2.0,0.40091587729448336,495.5923357174118,1.672998210183176e-12,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,5.0,4.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,5.0,10.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,5.0,25.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,5.0,50.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,10.0,2.0,1.064584152079642,2452.5564536992824,1.76587187954875e-11,reversible subcritical outer-elastic bow; NOT 0.2% yield
source_elastic_comparator_0K,10.0,4.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,10.0,10.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,10.0,25.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
source_elastic_comparator_0K,10.0,50.0,,,,above outer-only local-line fold; no atomistic operation/yield claim
