model,a_over_h,component,force_MPa,Haa_eV_L0sq,energy_eV_cell
joint_refinement/power_family,4.0,angular_3,0.14155918796041633,-8.811997727864756e-05,0.017752205418899547
joint_refinement/power_family,4.0,angular_1,11.609554556545232,-0.0035870526188327124,0.36292866601846663
joint_refinement/power_family,4.0,angular_2,2.700617347954828e-09,-3.787273303109078e-12,0.005376580492014887
joint_refinement/power_family,4.0,angular_Eg_radial,0.000255109109154998,-1.7736095253061305e-07,0.01428433883228759
joint_refinement/power_family,4.0,angular_rank3_quartic,0.05306334657769032,-3.2997986563031345e-05,0.0029905648705033563
joint_refinement/power_family,6.0,pair_6,-1.7865698872857988e-05,4.723850670534831e-09,-0.02378134042976395
joint_refinement/power_family,6.0,pair_3,5.095615876080089,-0.00046359736755075925,0.22702417598221397
joint_refinement/power_family,6.0,embedding,0.9757301561218245,-0.0003140864505820094,0.2344713738834736
joint_refinement/power_family,6.0,angular_3,2.9790225774688327e-05,-2.0387112045601546e-08,0.017755808595763957
joint_refinement/power_family,6.0,angular_1,0.19817672694670604,-6.381075452907289e-05,0.36351664337859496
joint_refinement/power_family,6.0,angular_2,2.9066056689608774e-17,-4.1977359439135677e-20,0.005376580492045849
joint_refinement/power_family,6.0,angular_Eg_radial,2.6984779910812995e-08,-1.955459259675141e-11,0.014284344709711013
joint_refinement/power_family,6.0,angular_rank3_quartic,1.1209044670076209e-05,-7.669235072959573e-09,0.0029919165502973397
joint_refinement/power_family,10.0,pair_6,-1.0808875582286259e-07,1.648226125094493e-11,-0.02378134163620276
joint_refinement/power_family,10.0,pair_3,0.8970408979394165,-4.611830081471034e-05,0.22794912134984477
joint_refinement/power_family,10.0,embedding,0.00021222625165510323,-7.046321229375367e-08,0.23451995156612204
joint_refinement/power_family,10.0,angular_3,3.3722294289869896e-13,-2.461534720825829e-16,0.017755809293178625
joint_refinement/power_family,10.0,angular_1,4.3049373441856825e-05,-1.4294485061953174e-08,0.363526507528816
joint_refinement/power_family,10.0,angular_2,1.31126851043964e-33,-1.9358000736120824e-36,0.005376580492045849
joint_refinement/power_family,10.0,angular_Eg_radial,1.470782901119096e-16,-1.1039462689950648e-19,0.01428434471030946
joint_refinement/power_family,10.0,angular_rank3_quartic,1.2715457120539248e-13,-9.281002976728614e-17,0.002991916812764418
joint_refinement/power_family,20.0,pair_6,-1.3903354099462948e-10,1.0193322954320533e-14,-0.023781341648997117
joint_refinement/power_family,20.0,pair_3,0.09624461024247068,-2.3584771055662274e-06,0.2282751939293523
joint_refinement/power_family,20.0,embedding,8.352325697840241e-14,-2.8370974013586904e-17,0.23451996184777402
joint_refinement/power_family,20.0,angular_3,3.7787979627983354e-34,-2.8816166573320443e-37,0.017755809293178628
joint_refinement/power_family,20.0,angular_1,1.6926357140654776e-14,-5.749628675113503e-18,0.3635265096142456
joint_refinement/power_family,20.0,angular_2,2.990149021271706e-75,-4.485169833753837e-78,0.005376580492045849
joint_refinement/power_family,20.0,angular_Eg_radial,7.000533905963407e-38,-5.401697980857788e-41,0.01428434471030946
joint_refinement/power_family,20.0,angular_rank3_quartic,1.4266741522157809e-34,-1.0879330050099792e-37,0.002991916812764421
joint_refinement/power_family,40.0,pair_6,-2.1834119617723843e-13,7.825735376500636e-18,-0.02378134164903137
joint_refinement/power_family,40.0,pair_3,0.011152128739766808,-1.3332457837276733e-07,0.2283475509091614
joint_refinement/power_family,40.0,embedding,6.516929143293064e-33,-2.2387963324948786e-36,0.23451996184777402
joint_refinement/power_family,40.0,angular_3,2.697058317832108e-77,-2.099600403950569e-80,0.017755809293178628
joint_refinement/power_family,40.0,angular_1,1.320053569334765e-33,-4.5348768527911365e-37,0.3635265096142456
joint_refinement/power_family,40.0,angular_2,1.8974895010185588e-159,-2.8685017923813614e-162,0.005376580492045849
joint_refinement/power_family,40.0,angular_Eg_radial,2.3035990327041098e-81,-1.802980797726073e-84,0.01428434471030946
joint_refinement/power_family,40.0,angular_rank3_quartic,1.01883577082585e-77,-7.931390563393537e-81,0.002991916812764421
joint_refinement/power_family,80.0,pair_6,-3.8167099272124114e-16,6.75887831708045e-21,-0.023781341649031486
joint_refinement/power_family,80.0,pair_3,0.0013424128170169572,-7.925374951134067e-09,0.2283646032010182
joint_refinement/power_family,80.0,embedding,1.9912040205837444e-71,-6.879046602495253e-75,0.23451996184777402
joint_refinement/power_family,80.0,angular_3,8.211298369298102e-165,-6.456851450131475e-168,0.017755809293178628
joint_refinement/power_family,80.0,angular_1,4.0323677035004817e-72,-1.3930708532860206e-75,0.3635265096142456
joint_refinement/power_family,80.0,angular_2,0.0,0.0,0.005376580492045849
joint_refinement/power_family,80.0,angular_Eg_radial,3.3675645120243683e-169,-2.654851971475591e-172,0.01428434471030946
joint_refinement/power_family,80.0,angular_rank3_quartic,3.1026954848824823e-165,-2.4397641259673563e-168,0.002991916812764421
