observable,role,validation_status,target,prediction,units,scale,normalized_residual
v16_opening1.21_Haa,fit,development,-1.3832350292334812,-0.8687883337894561,eV/L0^2,0.13832350292334814,3.7191560694432773
v16_opening1.62_energy,fit,development,0.5246331923940108,0.4951628241226974,eV/cell,0.05246331923940109,-0.561732820160196
v16_opening1.62_normal_force,fit,development,0.5093642313524578,0.6734870133279376,eV/L0,0.03173805605024358,5.171166807307349
v16_opening1.62_Haa,fit,development,-0.15582859326870177,-1.2287527314433522,eV/L0^2,0.1,-10.729241381746503
v16_opening1.93_energy,fit,development,0.6719836252695317,0.6323145287538667,eV/cell,0.06719836252695317,-0.5903283208687377
v16_opening1.93_normal_force,fit,development,0.6270410192299789,0.4282937258861093,eV/L0,0.03173805605024358,-6.262112998642343
v16_opening1.93_Haa,fit,development,-0.6638075680371565,-0.7832853491003235,eV/L0^2,0.1,-1.1947778106316709
v16_opening2.71_energy,fit,development,0.7719163228888833,0.7880969456494743,eV/cell,0.07719163228888834,0.2096162793919846
v16_opening2.71_normal_force,fit,development,0.0,0.11702409143432187,eV/L0,0.03173805605024358,3.6871852280134765
v16_opening2.71_Haa,fit,development,0.0,-0.25556851382829743,eV/L0^2,0.1,-2.555685138282974
v16_opening4.3_energy,fit,development,0.7719163228888833,0.8380954952621443,eV/cell,0.07719163228888834,0.8573360921503329
v16_opening4.3_normal_force,fit,development,0.0,0.006942847320546818,eV/L0,0.03173805605024358,0.21875464929407776
v16_opening4.3_Haa,fit,development,0.0,-0.01404141229787347,eV/L0^2,0.1,-0.1404141229787347
v16_opening6.2_energy,fit,development,0.7719163228888833,0.8417591890564657,eV/cell,0.07719163228888834,0.9047984100944606
v16_opening6.2_normal_force,fit,development,0.0,0.0006751594074991916,eV/L0,0.03173805605024358,0.02127286581227176
v16_opening6.2_Haa,fit,development,0.0,-0.0006483929041417128,eV/L0^2,0.1,-0.006483929041417128
v17_near_0.985_normal_force,fit,development,-0.24821900083247345,-0.39289428415028343,eV/L0,0.03173805605024358,-4.558416655663435
v17_near_0.985_Haa,fit,development,20.878110673451364,35.8616499955015,eV/L0^2,2.0878110673451364,7.176673960782873
v17_near_1.015_normal_force,fit,development,0.2329580444899274,0.2915482574217361,eV/L0,0.03173805605024358,1.8460555000298782
v17_near_1.015_Haa,fit,development,18.39295935022696,20.284068594461797,eV/L0^2,1.839295935022696,1.0281701863335557
v17_near_1.065_normal_force,fit,development,0.9078686582498847,0.9417503695779124,eV/L0,0.03173805605024358,1.0675421101528872
v17_near_1.065_Haa,fit,development,14.605604041867348,15.341197835110671,eV/L0^2,1.4605604041867348,0.5036380495696886
v17_near_1.095_normal_force,fit,development,1.2303804278835464,1.2000532906886636,eV/L0,0.03173805605024358,-0.955544887401824
v17_near_1.095_Haa,fit,development,11.545874277606002,4.606276658860166,eV/L0^2,1.1545874277606003,-6.010456594184167
v17_direct023_energy,heldout,retrospective,0.10138618519039871,0.09036756096756154,eV/cell,0.010138618519039872,-1.086797397707063
v17_direct023_normal_force,heldout,retrospective,-0.8610948380753036,-0.7762280259917246,eV/L0,0.03173805605024358,2.6739763755293926
v17_direct023_Haa,heldout,retrospective,29.67272464413389,32.66494388046035,eV/L0^2,2.967272464413389,1.0084073074556712
v17_direct023_Hxx,heldout,retrospective,1.5318476269016676,3.205778076755431,eV/L0^2,0.1531847626901668,10.927525822130715
v17_direct047_energy,heldout,retrospective,0.26395051027571553,0.2691643177890414,eV/cell,0.026395051027571555,0.19752973797548787
v17_direct047_normal_force,heldout,retrospective,-2.2580600813748397,-2.3107001787410795,eV/L0,0.03173805605024358,-1.6585797593559848
v17_direct047_Haa,heldout,retrospective,35.337517734960244,50.38537922179692,eV/L0^2,3.5337517734960247,4.258324424397661
v17_direct047_Hxx,heldout,retrospective,-7.290154929569364,-7.593092338120928,eV/L0^2,0.7290154929569365,-0.41554316949126746
v17_off_plus_energy,heldout,retrospective,0.08014986299727256,0.08932883843238057,eV/cell,0.008014986299727257,1.1452265907703876
v17_off_plus_normal_force,heldout,retrospective,0.496288954541943,0.6250145350527504,eV/L0,0.03173805605024358,4.055874761422872
v17_off_plus_Haa,heldout,retrospective,13.145916399036436,13.768790073907821,eV/L0^2,1.3145916399036437,0.47381533243056434
v17_off_plus_Hxx,heldout,retrospective,0.5867789207029961,0.2900635050215624,eV/L0^2,0.1,-2.9671541568143365
v17_off_minus_energy,heldout,retrospective,0.21284911087573022,0.23034767194291708,eV/cell,0.021284911087573022,0.8221110717912851
v17_off_minus_normal_force,heldout,retrospective,0.06702268289699899,0.09122090073029676,eV/L0,0.03173805605024358,0.7624354117653043
v17_off_minus_Haa,heldout,retrospective,11.464221151869252,13.648585291414365,eV/L0^2,1.1464221151869252,1.905375088816174
v17_off_minus_Hxx,heldout,retrospective,-2.835312235036081,-3.102431237549236,eV/L0^2,0.2835312235036081,-0.9421149431528337
v17_shockley067_energy,heldout,retrospective,0.07506981596967024,0.0867783163756473,eV/cell,0.007506981596967025,1.559681511768662
v17_shockley067_normal_force,heldout,retrospective,-0.08375074170661885,0.005549424706171563,eV/L0,0.03173805605024358,2.8136621307688774
v17_shockley067_Haa,heldout,retrospective,14.560238367523052,24.235158307324905,eV/L0^2,1.4560238367523053,6.644753812123011
v17_shockley067_Hxx,heldout,retrospective,0.4530475235373633,-0.19417700950079406,eV/L0^2,0.1,-6.472245330381573
v17_compression_energy,heldout,retrospective,0.025317916775100896,0.026800730017204007,eV/cell,0.004433026104653031,0.33449233257316224
v17_compression_normal_force,heldout,retrospective,-0.6769543589544016,-0.810103597075083,eV/L0,0.03173805605024358,-4.195254993245229
v17_compression_Haa,heldout,retrospective,26.962376342241654,28.265535036697692,eV/L0^2,2.6962376342241656,0.4833248664415358
v17_compression_Hxx,heldout,retrospective,5.568444170552721,3.107458706697713,eV/L0^2,0.5568444170552721,-4.419520764649655
v17_opening1.045_energy,heldout,retrospective,0.012439540042104347,0.014215728268951615,eV/cell,0.004433026104653031,0.40067172737442946
v17_opening1.045_normal_force,heldout,retrospective,0.6560493060873362,0.6929209037067832,eV/L0,0.03173805605024358,1.1617471958924195
v17_opening1.045_Haa,heldout,retrospective,16.173163667497242,14.7109376857474,eV/L0^2,1.6173163667497243,-0.9041063404857748
v17_opening1.045_Hxx,heldout,retrospective,3.5468340021412335,2.5675724190330107,eV/L0^2,0.35468340021412337,-2.7609456278952997
v17_opening1.255_energy,heldout,retrospective,0.2548812728796389,0.2199985487014065,eV/cell,0.02548812728796389,-1.3685871772425144
v17_opening1.255_normal_force,heldout,retrospective,1.5479287243761108,1.2322146098407967,eV/L0,0.03173805605024358,-9.947493760661223
v17_opening1.255_Haa,heldout,retrospective,-3.07660296796585,-1.8651015391926777,eV/L0^2,0.307660296796585,3.937789313042812
v17_opening1.255_Hxx,heldout,retrospective,-0.8591645505462155,0.7127760804796193,eV/L0^2,0.1,15.719406310258348
v17_opening1.555_energy,heldout,retrospective,0.4970497627048889,0.4576053666982927,eV/cell,0.04970497627048889,-0.7935703618877955
v17_opening1.555_normal_force,heldout,retrospective,0.5361595264738468,0.7435583750362418,eV/L0,0.03173805605024358,6.534705472637265
v17_opening1.555_Haa,heldout,retrospective,-0.9598397042596563,-1.4227577487822118,eV/L0^2,0.1,-4.629180445225556
v17_opening1.555_Hxx,heldout,retrospective,-0.8905810007935903,0.0728267504348244,eV/L0^2,0.1,9.634077512284147
v17_opening1.855_energy,heldout,retrospective,0.6331364785570511,0.6045732141904403,eV/cell,0.06331364785570512,-0.4511391356206153
v17_opening1.855_normal_force,heldout,retrospective,0.6294361584094642,0.4784932628784724,eV/L0,0.03173805605024358,-4.755896054000238
v17_opening1.855_Haa,heldout,retrospective,0.33758173393615254,-0.857780147124005,eV/L0^2,0.1,-11.953618810601574
v17_opening1.855_Hxx,heldout,retrospective,-0.0764657682265532,0.003810696688809625,eV/L0^2,0.1,0.8027646491536281
v17_opening2.455_energy,heldout,retrospective,0.7722611869157332,0.7573192876705519,eV/cell,0.07722611869157332,-0.1934824577272419
v17_opening2.455_normal_force,heldout,retrospective,-0.03892592855831557,0.18318437520053937,eV/L0,0.03173805605024358,6.998232765335049
v17_opening2.455_Haa,heldout,retrospective,1.5212189106347462,-0.3871013774877352,eV/L0^2,0.15212189106347462,-12.544678972773305
v17_opening2.455_Hxx,heldout,retrospective,0.04446583977668427,-4.0577453225229564e-05,eV/L0^2,0.1,-0.445064172299095
