run,observable,role,units,target,prediction,scale,normalized_residual
nested_range,new_opening_2.23h_normal_force,fit,eV/L0,0.15664558956102492,0.250811912888772,0.03173805605024358,2.966984593469593
nested_range,new_opening_3.4h_energy,fit,eV/cell,0.7719163228888833,0.8151030186975309,0.07719163228888834,0.5594737995307844
nested_range,new_opening_3.4h_normal_force,fit,eV/L0,0.0,0.04591324713461317,0.03173805605024358,1.4466307281683939
nested_range,new_opening_5.5h_energy,fit,eV/cell,0.7719163228888833,0.8402472839813433,0.07719163228888834,0.8852120244942162
nested_range,new_opening_5.5h_normal_force,fit,eV/L0,0.0,0.0028686670971541555,0.03173805605024358,0.09038572156444784
nested_range,v16_direct011_energy,fit,eV/cell,0.025339211626875774,0.022672737785965024,0.004433026104653031,-0.6015019487730836
nested_range,v16_direct011_normal_force,fit,eV/L0,-0.1684646879274777,-0.2608066238257605,0.03173805605024358,-2.9095019478224806
nested_range,v16_direct011_Haa,fit,eV/L0^2,23.17866876533168,25.712202128873606,2.317866876533168,1.093045243103578
nested_range,v16_direct031_energy,fit,eV/cell,0.16617323878813156,0.15993288540613632,0.016617323878813157,-0.37553299360985576
nested_range,v16_direct031_normal_force,fit,eV/L0,-1.4977500080753077,-1.3720002613084774,0.03173805605024358,3.9621124421659455
nested_range,v16_direct031_Haa,fit,eV/L0^2,34.460781638400974,40.45936245471431,3.4460781638400975,1.7406978400132649
nested_range,v16_raised043_energy,fit,eV/cell,0.1726273519698645,0.18669076372787619,0.017262735196986453,0.8146687994418591
nested_range,v16_raised043_normal_force,fit,eV/L0,-0.17083895700384927,-0.03971654614200404,0.03173805605024358,4.13139389048495
nested_range,v16_raised043_Haa,fit,eV/L0^2,18.238440853611248,16.734708092877973,1.8238440853611249,-0.8244853673638077
nested_range,v16_off_plus_energy,fit,eV/cell,0.0652424878354941,0.06544950948969536,0.006524248783549411,0.03173110975216731
nested_range,v16_off_plus_normal_force,fit,eV/L0,-0.08042066717244803,-0.07216159223969908,0.03173805605024358,0.2602262381689116
nested_range,v16_off_plus_Haa,fit,eV/L0^2,20.981095919956758,24.139798912394884,2.098109591995676,1.5054995241853104
nested_range,v16_off_minus_energy,fit,eV/cell,0.21182429891635463,0.21931208558210788,0.021182429891635463,0.35349044958765746
nested_range,v16_off_minus_normal_force,fit,eV/L0,0.3481661631135443,0.471914697049543,0.03173805605024358,3.8990583966483645
