radius_set,group,coordination_label,Si_O_radius_A,Si_Si_radius_A,Si_H_radius_A,frames,atoms,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A
0,Si_O_vacuum0,Si_O3_Si0_H0,1.8,2.6,1.7,62,1204,0.279798378268007,0.2106004908351943,1.8950833314526108
0,Si_O_vacuum0,Si_O3_Si1_H0,1.8,2.6,1.7,33,74,0.4167365262517937,0.332960825133872,1.4472711688325681
1,Si_O_vacuum0,Si_O3_Si0_H0,2.0,2.8,1.9,35,162,0.3754296014805417,0.2861456143020425,1.5540373115044273
1,Si_O_vacuum0,Si_O3_Si1_H0,2.0,2.8,1.9,27,60,0.39630451304613745,0.31810896531196414,1.349098689843351
1,Si_O_vacuum0,Si_O4_Si1_H0,2.0,2.8,1.9,63,1039,0.2532525131354088,0.18787889011276693,1.8950833314526108
1,Si_O_vacuum0,Si_O4_Si2_H0,2.0,2.8,1.9,55,185,0.303384538834609,0.21821970898058993,2.171969135195395
2,Si_O_vacuum0,Si_O3_Si0_H0,2.2,3.0,2.1,10,23,0.5001450536812228,0.38688505198470086,1.2596178585306665
2,Si_O_vacuum0,Si_O3_Si1_H0,2.2,3.0,2.1,12,21,0.4047386511302801,0.3128594139179588,1.5540373115044273
2,Si_O_vacuum0,Si_O3_Si2_H0,2.2,3.0,2.1,11,18,0.4831054986888928,0.3728177774934925,1.349098689843351
2,Si_O_vacuum0,Si_O4_Si1_H0,2.2,3.0,2.1,63,1566,0.22946376896087634,0.16928931704652322,1.4472711688325681
2,Si_O_vacuum0,Si_O4_Si2_H0,2.2,3.0,2.1,63,1317,0.24755791887423298,0.18145210120135624,2.171969135195395
2,Si_O_vacuum0,Si_O4_Si3_H0,2.2,3.0,2.1,63,524,0.24875293046947294,0.17947351656452112,1.7890597676989275
0,Si_O_vacuum0,Si_O4_Si1_H0,1.8,2.6,1.7,35,71,0.29560667707461713,0.22510685574769626,1.1338995546352466
1,Si_O_vacuum0,Si_O2_Si0_H0,2.0,2.8,1.9,4,7,0.3649470962470007,0.2742248331277032,0.932244327851589
1,Si_O_vacuum0,Si_O3_Si2_H0,2.0,2.8,1.9,9,11,0.4295571632864303,0.34050017539135435,1.035566894518344
1,Si_O_vacuum0,Si_O5_Si1_H0,2.0,2.8,1.9,12,13,0.3325821183929434,0.26060323303474736,0.9363148166566417
2,Si_O_vacuum0,Si_O2_Si0_H0,2.2,3.0,2.1,1,1,0.3531993031754341,0.3261547191458127,0.44304138307796714
2,Si_O_vacuum0,Si_O3_Si3_H0,2.2,3.0,2.1,2,3,0.41190837131400865,0.29187507361851295,1.035566894518344
2,Si_O_vacuum0,Si_O4_Si4_H0,2.2,3.0,2.1,54,123,0.223060470887251,0.16811774511327035,1.0086191017552797
2,Si_O_vacuum0,Si_O5_Si0_H0,2.2,3.0,2.1,18,19,0.2853463617896923,0.21326404622001027,0.8399496617709502
2,Si_O_vacuum0,Si_O5_Si1_H0,2.2,3.0,2.1,41,57,0.3062967183636257,0.2444730959940671,1.0265618703493162
2,Si_O_vacuum0,Si_O5_Si2_H0,2.2,3.0,2.1,32,43,0.3318452164650998,0.25081089524476713,1.060895731945398
0,Si_O_vacuum0,Si_O2_Si1_H0,1.8,2.6,1.7,14,23,0.5240867086618153,0.3712480269509789,2.171969135195395
1,Si_O_vacuum0,Si_O2_Si1_H0,2.0,2.8,1.9,2,2,0.8660062931084954,0.6413654514835175,1.7890597676989275
1,Si_O_vacuum0,Si_O2_Si2_H0,2.0,2.8,1.9,1,1,0.5852828155601101,0.5099573190885284,0.7227869347809506
1,Si_O_vacuum0,Si_O4_Si3_H0,2.0,2.8,1.9,16,18,0.3953683461100363,0.2620662252792401,1.3109433011602083
1,Si_O_vacuum0,Si_O5_Si0_H0,2.0,2.8,1.9,28,30,0.2922086584398908,0.21683400937313027,0.8579346093209583
1,Si_O_vacuum0,Si_O5_Si2_H0,2.0,2.8,1.9,6,6,0.3357596046695619,0.26795007570606344,0.6989853589156123
2,Si_O_vacuum0,Si_O5_Si3_H0,2.2,3.0,2.1,14,16,0.3606999879272026,0.2696809418567528,1.206261041970138
0,Si_O_vacuum0,Si_O1_Si2_H0,1.8,2.6,1.7,1,1,0.9027269550707274,0.7984043885718982,1.3109433011602083
0,Si_O_vacuum0,Si_O3_Si2_H0,1.8,2.6,1.7,2,2,0.31225173330340145,0.2940103549697427,0.40252678082130516
1,Si_O_vacuum0,Si_O3_Si3_H0,2.0,2.8,1.9,2,2,0.3430073832206335,0.29158332474900706,0.6309776381847267
2,Si_O_vacuum0,Si_O5_Si4_H0,2.2,3.0,2.1,5,5,0.4280733954933697,0.375615467827368,0.6989853589156123
2,Si_O_vacuum0,Si_O6_Si2_H0,2.2,3.0,2.1,1,1,0.4055311928754312,0.29623079683414666,0.6828584927580983
2,Si_O_vacuum0,Si_O4_Si5_H0,2.2,3.0,2.1,1,1,0.2622526311199574,0.24580013401073356,0.32655748939221424
0,Si_O_vacuum0,Si_O5_Si0_H0,1.8,2.6,1.7,2,2,0.3086837457243676,0.2454227688479728,0.6448280957123493
0,Si_H_vacuum1,H,1.8,2.6,1.7,93,2976,0.10605939704390205,0.08405065195168664,0.51445564429189
0,Si_H_vacuum1,Si_O0_Si2_H2,1.8,2.6,1.7,93,1209,0.24745169374944115,0.19479838867012014,0.9849441080456689
0,Si_H_vacuum1,Si_O0_Si3_H0,1.8,2.6,1.7,93,4950,0.3150548176493049,0.24956125844475516,1.290706788199386
0,Si_H_vacuum1,Si_O0_Si4_H0,1.8,2.6,1.7,93,10096,0.2794732535202592,0.2198632654735116,1.402104535199599
1,Si_H_vacuum1,H,2.0,2.8,1.9,93,2976,0.10605939704390205,0.08405065195168664,0.51445564429189
1,Si_H_vacuum1,Si_O0_Si2_H2,2.0,2.8,1.9,93,1473,0.2569724352322283,0.20263363082454405,0.9849441080456689
1,Si_H_vacuum1,Si_O0_Si3_H0,2.0,2.8,1.9,93,1666,0.34828574751332686,0.27605474705244964,1.2189941987929345
1,Si_H_vacuum1,Si_O0_Si4_H0,2.0,2.8,1.9,93,14395,0.2864723253088544,0.22582535752462438,1.290706788199386
2,Si_H_vacuum1,H,2.2,3.0,2.1,93,2976,0.10605939704390205,0.08405065195168664,0.51445564429189
2,Si_H_vacuum1,Si_O0_Si2_H2,2.2,3.0,2.1,93,1487,0.25772329506028574,0.20312060201254506,0.9849441080456689
2,Si_H_vacuum1,Si_O0_Si3_H0,2.2,3.0,2.1,93,1116,0.36821034824930915,0.29263061483107444,1.2189941987929345
2,Si_H_vacuum1,Si_O0_Si4_H0,2.2,3.0,2.1,93,14663,0.28556373658797757,0.22520074743743845,1.290706788199386
0,Si_H_vacuum1,Si_O0_Si2_H0,1.8,2.6,1.7,92,1150,0.33508622901872603,0.2637443369303411,1.1911964070108985
1,Si_H_vacuum1,Si_O0_Si5_H0,2.0,2.8,1.9,80,184,0.43118010486198527,0.3472666913365218,1.402104535199599
2,Si_H_vacuum1,Si_O0_Si5_H0,2.2,3.0,2.1,91,497,0.38274027717221926,0.3079718172253496,1.321063667121558
2,Si_H_vacuum1,Si_O0_Si6_H0,2.2,3.0,2.1,48,75,0.44182289526079566,0.3519152642202549,1.402104535199599
0,Si_H_vacuum1,Si_O0_Si1_H0,1.8,2.6,1.7,74,145,0.38752610501133516,0.305394172080747,1.2103394939261698
0,Si_H_vacuum1,Si_O0_Si2_H1,1.8,2.6,1.7,69,128,0.332163875056288,0.2757324165554712,0.9222720120113879
0,Si_H_vacuum1,Si_O0_Si1_H1,1.8,2.6,1.7,8,8,0.2985998111806982,0.24545000352650848,0.5811918862791319
0,Si_H_vacuum1,Si_O0_Si1_H2,1.8,2.6,1.7,76,136,0.26346569306851736,0.20571927537343174,0.8743972134759813
0,Si_H_vacuum1,Si_O0_Si5_H0,1.8,2.6,1.7,23,23,0.5045072465570569,0.42645996570767297,0.9812593961722035
1,Si_H_vacuum1,Si_O0_Si2_H0,2.0,2.8,1.9,61,111,0.39569758835866203,0.31292587056299775,1.1002648713945964
2,Si_H_vacuum1,Si_O0_Si7_H0,2.2,3.0,2.1,2,2,0.22517421350661307,0.15950382199117075,0.4308162584891102
1,Si_H_vacuum1,Si_O0_Si1_H2,2.0,2.8,1.9,10,10,0.3114420834074565,0.23273953524228014,0.8743972134759813
0,Si_H_vacuum1,Si_O0_Si6_H0,1.8,2.6,1.7,1,1,0.38499927710672727,0.29742802832337917,0.6411220776755301
1,Si_H_vacuum1,Si_O0_Si6_H0,2.0,2.8,1.9,6,6,0.4833524855460128,0.3814106754578481,1.2121312660070358
0,Si_H_vacuum1,Si_O0_Si0_H0,1.8,2.6,1.7,8,8,0.34249858836680985,0.24434836858573963,0.685350209287235
2,Si_H_vacuum1,Si_O0_Si2_H0,2.2,3.0,2.1,12,14,0.41872938877403987,0.3261370112444838,0.8757916215954226
1,Si_H_vacuum1,Si_O0_Si1_H0,2.0,2.8,1.9,6,6,0.3545688898433469,0.30599943944143754,0.7144039756907914
0,Si_H_vacuum1,Si_O0_Si0_H2,1.8,2.6,1.7,2,2,0.15279889330969026,0.11570757947024642,0.2801428175871927
1,Si_H_vacuum1,Si_O0_Si2_H1,2.0,2.8,1.9,5,5,0.3632637655482297,0.2936529500151497,0.7404393065350678
2,Si_H_vacuum1,Si_O0_Si1_H0,2.2,3.0,2.1,1,1,0.3929545688822212,0.3846440785963132,0.48938614748400877
2,Si_H_vacuum1,Si_O0_Si2_H1,2.2,3.0,2.1,1,1,0.3613922946033871,0.23466311439739243,0.6228074232750753
0,Si_O_H_vacuum1,H,1.8,2.6,1.7,423,13536,0.11276330002235144,0.08808562943944051,0.7203204643985934
0,Si_O_H_vacuum1,O,1.8,2.6,1.7,423,11396,0.4248493589242835,0.3131680920098093,2.9935203193054356
0,Si_O_H_vacuum1,Si_O0_Si2_H0,1.8,2.6,1.7,418,3211,0.3784348182481492,0.2935117057146546,3.1358810285838423
0,Si_O_H_vacuum1,Si_O0_Si2_H2,1.8,2.6,1.7,423,5742,0.24713421138187924,0.19442274745348276,2.0374945946474274
0,Si_O_H_vacuum1,Si_O0_Si3_H0,1.8,2.6,1.7,423,16185,0.336062023663803,0.2640337324800904,2.2122845721362623
0,Si_O_H_vacuum1,Si_O0_Si4_H0,1.8,2.6,1.7,423,45358,0.27614380143727174,0.21647515135831485,1.8186613081691618
0,Si_O_H_vacuum1,Si_O1_Si1_H0,1.8,2.6,1.7,352,791,0.5905212620386887,0.4608521701319909,2.153475467185806
0,Si_O_H_vacuum1,Si_O1_Si2_H0,1.8,2.6,1.7,411,1388,0.5598345533567356,0.4437370294258019,2.2740374672470516
0,Si_O_H_vacuum1,Si_O1_Si3_H0,1.8,2.6,1.7,401,1170,0.4894978182838856,0.3808462719515481,2.025634479204653
0,Si_O_H_vacuum1,Si_O3_Si1_H0,1.8,2.6,1.7,249,687,0.631056154258446,0.49208608774215457,2.994849712844889
1,Si_O_H_vacuum1,H,2.0,2.8,1.9,423,13536,0.11276330002235144,0.08808562943944051,0.7203204643985934
1,Si_O_H_vacuum1,O,2.0,2.8,1.9,423,11396,0.4248493589242835,0.3131680920098093,2.9935203193054356
1,Si_O_H_vacuum1,Si_O0_Si2_H2,2.0,2.8,1.9,423,6719,0.2520386209062287,0.19890012805528404,1.3606025429253554
1,Si_O_H_vacuum1,Si_O0_Si3_H0,2.0,2.8,1.9,420,3460,0.37956810238114813,0.29625924567866413,1.8065351962678884
1,Si_O_H_vacuum1,Si_O0_Si4_H0,2.0,2.8,1.9,423,60470,0.2891588166758565,0.22649970272312492,1.9710212488639254
1,Si_O_H_vacuum1,Si_O0_Si5_H0,2.0,2.8,1.9,190,342,0.42433801228184537,0.34397490494509586,1.533409122118285
1,Si_O_H_vacuum1,Si_O1_Si1_H0,2.0,2.8,1.9,171,257,0.566974311888057,0.44176808026157255,2.153475467185806
1,Si_O_H_vacuum1,Si_O1_Si2_H0,2.0,2.8,1.9,370,974,0.5448990238535194,0.42971624417950294,3.1358810285838423
1,Si_O_H_vacuum1,Si_O1_Si3_H0,2.0,2.8,1.9,423,2133,0.48177306264845804,0.37773624339980705,2.102762390642977
1,Si_O_H_vacuum1,Si_O1_Si4_H0,2.0,2.8,1.9,179,235,0.5767270343928917,0.4572783907130135,2.005143514477597
1,Si_O_H_vacuum1,Si_O3_Si1_H0,2.0,2.8,1.9,339,944,0.6408528955867233,0.49658261954780325,3.0737155533389213
1,Si_O_H_vacuum1,Si_O3_Si2_H0,2.0,2.8,1.9,206,359,0.7000881935879046,0.5526226874896418,2.8798772161117956
2,Si_O_H_vacuum1,H,2.2,3.0,2.1,423,13536,0.11276330002235144,0.08808562943944051,0.7203204643985934
2,Si_O_H_vacuum1,O,2.2,3.0,2.1,423,11396,0.4248493589242835,0.3131680920098093,2.9935203193054356
2,Si_O_H_vacuum1,Si_O0_Si2_H2,2.2,3.0,2.1,423,6694,0.2511417565101248,0.19839505875993554,1.1312653046507641
2,Si_O_H_vacuum1,Si_O0_Si3_H0,2.2,3.0,2.1,398,1777,0.40092076279022665,0.31354105485311956,1.5598657467685024
2,Si_O_H_vacuum1,Si_O0_Si4_H0,2.2,3.0,2.1,423,61317,0.289215483857652,0.22656958168300365,1.9710212488639254
2,Si_O_H_vacuum1,Si_O0_Si5_H0,2.2,3.0,2.1,349,1223,0.4043701505252263,0.3250717373990145,1.533409122118285
2,Si_O_H_vacuum1,Si_O0_Si6_H0,2.2,3.0,2.1,56,68,0.4395275545489604,0.3541713602071059,1.3750467764257142
2,Si_O_H_vacuum1,Si_O1_Si2_H0,2.2,3.0,2.1,309,580,0.5541578900992161,0.4337037895752486,3.1358810285838423
2,Si_O_H_vacuum1,Si_O1_Si3_H0,2.2,3.0,2.1,422,1925,0.4788091064588198,0.3753455560586442,2.102762390642977
2,Si_O_H_vacuum1,Si_O1_Si4_H0,2.2,3.0,2.1,379,943,0.5142954702749358,0.40581263503677345,2.005143514477597
2,Si_O_H_vacuum1,Si_O1_Si5_H0,2.2,3.0,2.1,75,87,0.5680361595126132,0.44302629689114104,1.662426717365731
2,Si_O_H_vacuum1,Si_O3_Si1_H0,2.2,3.0,2.1,287,472,0.628300392555392,0.49100740064485254,2.7936900647081435
2,Si_O_H_vacuum1,Si_O3_Si2_H0,2.2,3.0,2.1,301,639,0.6334656330221904,0.4958584049909007,3.0737155533389213
0,Si_O_H_vacuum1,Si_O0_Si0_H0,1.8,2.6,1.7,73,86,0.5120063743218374,0.3874301867079909,1.771017798075139
0,Si_O_H_vacuum1,Si_O0_Si1_H0,1.8,2.6,1.7,275,509,0.45161921505953545,0.3494172008690807,1.8571097982396985
0,Si_O_H_vacuum1,Si_O0_Si1_H2,1.8,2.6,1.7,295,525,0.25470485364919104,0.19964698223079577,1.1312653046507641
0,Si_O_H_vacuum1,Si_O0_Si2_H1,1.8,2.6,1.7,277,454,0.3185300327402315,0.259701237045622,1.3606025429253554
0,Si_O_H_vacuum1,Si_O1_Si0_H0,1.8,2.6,1.7,246,406,0.5543013179743814,0.4344486952956464,2.38131030358014
0,Si_O_H_vacuum1,Si_O2_Si1_H0,1.8,2.6,1.7,279,688,0.6704661197407695,0.5251076613202414,3.0737155533389213
0,Si_O_H_vacuum1,Si_O3_Si0_H0,1.8,2.6,1.7,319,1376,0.5419568017191915,0.4145685932065345,2.6188603655026332
1,Si_O_H_vacuum1,Si_O0_Si1_H0,2.0,2.8,1.9,19,19,0.4231937077034116,0.3276328462908148,1.3910924181723763
1,Si_O_H_vacuum1,Si_O0_Si2_H0,2.0,2.8,1.9,168,267,0.40701435416613246,0.32499153999834385,1.5047811364259926
2,Si_O_H_vacuum1,Si_O1_Si1_H0,2.2,3.0,2.1,46,50,0.5868010139006672,0.45834557410564875,1.8855177006465373
0,Si_O_H_vacuum1,Si_O2_Si2_H0,1.8,2.6,1.7,280,795,0.5992197842237285,0.4736845593258428,2.18662700532746
1,Si_O_H_vacuum1,Si_O2_Si0_H0,2.0,2.8,1.9,146,208,0.523288909070859,0.4118914654756439,1.497217816169719
2,Si_O_H_vacuum1,Si_O3_Si0_H0,2.2,3.0,2.1,93,111,0.542600894791966,0.41721714156936546,2.132346402054279
1,Si_O_H_vacuum1,Si_O3_Si0_H0,2.0,2.8,1.9,251,428,0.5516784519024749,0.42733700354595433,2.248527930580769
2,Si_O_H_vacuum1,Si_O2_Si1_H0,2.2,3.0,2.1,166,264,0.5678851137002715,0.436991939824237,2.153475467185806
0,Si_O_H_vacuum1,Si_O2_Si0_H0,1.8,2.6,1.7,254,495,0.558566167107854,0.4372652271078581,2.2305172142642773
1,Si_O_H_vacuum1,Si_O2_Si1_H0,2.0,2.8,1.9,248,424,0.6205489130623884,0.4853840183442662,2.2305172142642773
2,Si_O_H_vacuum1,Si_O1_Si6_H0,2.2,3.0,2.1,7,7,0.4272379188047701,0.3281883885251479,0.8283785500061912
2,Si_O_H_vacuum1,Si_O2_Si2_H0,2.2,3.0,2.1,321,947,0.6151367991791901,0.4866312908329427,2.2740374672470516
2,Si_O_H_vacuum1,Si_O3_Si3_H0,2.2,3.0,2.1,216,369,0.6881457662000782,0.5402245673778153,2.8798772161117956
1,Si_O_H_vacuum1,Si_O2_Si2_H0,2.0,2.8,1.9,320,1299,0.6018378846403972,0.4785296383926448,2.2740374672470516
2,Si_O_H_vacuum1,Si_O2_Si3_H0,2.2,3.0,2.1,329,787,0.6261575278648853,0.49916855973505364,2.06658242166909
0,Si_O_H_vacuum1,Si_O0_Si5_H0,1.8,2.6,1.7,27,30,0.4262798195021183,0.3484662295547645,0.955500088377234
1,Si_O_H_vacuum1,Si_O2_Si3_H0,2.0,2.8,1.9,197,256,0.7033652109466259,0.5597061347445643,2.2122845721362623
2,Si_O_H_vacuum1,Si_O2_Si0_H0,2.2,3.0,2.1,52,67,0.5009720584472204,0.39344100785825786,1.2990581975612987
1,Si_O_H_vacuum1,Si_O1_Si0_H0,2.0,2.8,1.9,42,45,0.48668646406953164,0.3918356048819595,1.2639454242041592
2,Si_O_H_vacuum1,Si_O2_Si4_H0,2.2,3.0,2.1,116,148,0.6209195038139812,0.4913069878129891,2.2122845721362623
0,Si_O_H_vacuum1,Si_O3_Si2_H0,1.8,2.6,1.7,52,61,0.6944230765345994,0.5520544050220176,1.8925986043073557
1,Si_O_H_vacuum1,Si_O3_Si3_H0,2.0,2.8,1.9,35,38,0.6852722450338612,0.5317931061916432,1.5967293648124992
1,Si_O_H_vacuum1,Si_O0_Si1_H2,2.0,2.8,1.9,21,22,0.3113832603376824,0.22019587072910915,1.0122588926693332
2,Si_O_H_vacuum1,Si_O3_Si4_H0,2.2,3.0,2.1,67,71,0.6824068525649993,0.54132978352466,2.0103829929263037
2,Si_O_H_vacuum1,Si_O0_Si2_H0,2.2,3.0,2.1,42,48,0.4217701765677876,0.3234627140523074,1.5047811364259926
2,Si_O_H_vacuum1,Si_O1_Si7_H0,2.2,3.0,2.1,1,1,0.5979894114372747,0.48772327647576263,0.9317222789474795
2,Si_O_H_vacuum1,Si_O3_Si5_H0,2.2,3.0,2.1,9,9,0.6454795830418869,0.5307779594143321,1.2348061081856887
2,Si_O_H_vacuum1,Si_O2_Si5_H0,2.2,3.0,2.1,11,12,0.6185697572874131,0.500225640743619,1.5693009811010725
1,Si_O_H_vacuum1,Si_O0_Si6_H0,2.0,2.8,1.9,7,7,0.4799525546459856,0.38176556676019996,0.9273853284751868
1,Si_O_H_vacuum1,Si_O1_Si5_H0,2.0,2.8,1.9,4,4,0.7047028670251044,0.6064000273434611,1.336015096392504
0,Si_O_H_vacuum1,Si_O0_Si1_H1,1.8,2.6,1.7,21,22,0.34731602474614265,0.2781056022865031,0.8885742851393461
1,Si_O_H_vacuum1,Si_O0_Si2_H1,2.0,2.8,1.9,17,17,0.368577403657658,0.3019423088851309,0.7791274027042747
2,Si_O_H_vacuum1,Si_O2_Si6_H0,2.2,3.0,2.1,3,3,0.6977472350645443,0.6364618444043846,0.919459999718126
2,Si_O_H_vacuum1,Si_O0_Si7_H0,2.2,3.0,2.1,2,2,0.32489302803614306,0.29664659167827195,0.44860888056574943
2,Si_O_H_vacuum1,Si_O1_Si0_H0,2.2,3.0,2.1,3,3,0.3226875583847905,0.28422598322128706,0.5780497735859278
0,Si_O_H_vacuum1,Si_O0_Si0_H2,1.8,2.6,1.7,11,12,0.3371981766922353,0.26433372688606105,1.035241321927018
0,Si_O_H_vacuum1,Si_O1_Si4_H0,1.8,2.6,1.7,16,17,0.742526157978329,0.5784221817472766,1.7436547897119765
2,Si_O_H_vacuum1,Si_O0_Si8_H0,2.2,3.0,2.1,1,1,0.21746254606645302,0.20628504990651084,0.2901920281068405
0,Si_O_H_vacuum1,Si_O2_Si3_H0,1.8,2.6,1.7,29,30,0.7770515915229502,0.6348140522013466,1.7140800327828671
1,Si_O_H_vacuum1,Si_O2_Si4_H0,2.0,2.8,1.9,7,7,0.6955928528266285,0.5782811509092541,1.4126960937984068
0,Si_O_H_vacuum1,Si_O0_Si6_H0,1.8,2.6,1.7,1,1,0.5894337556312668,0.5095296014707309,0.7704486893991092
2,Si_O_H_vacuum1,Si_O0_Si2_H3,2.2,3.0,2.1,52,69,0.41556726386536946,0.3067768885696423,2.0374945946474274
1,Si_O_H_vacuum1,Si_O0_Si2_H3,2.0,2.8,1.9,8,8,0.7138577736671297,0.5418103120974935,2.0374945946474274
2,Si_O_H_vacuum1,Si_O0_Si4_H1,2.2,3.0,2.1,2,2,0.2599662624127992,0.25101793234525743,0.3621321903846102
1,Si_O_H_vacuum1,Si_O0_Si3_H2,2.0,2.8,1.9,1,2,0.6103092248280865,0.5258503585609142,1.035241321927018
2,Si_O_H_vacuum1,Si_O0_Si3_H2,2.2,3.0,2.1,2,3,0.6787068591830407,0.578807209136273,1.035241321927018
2,Si_O_H_vacuum1,Si_O4_Si3_H0,2.2,3.0,2.1,144,419,0.532308763379287,0.4018637147408135,2.5695757441883527
1,Si_O_H_vacuum1,Si_O3_Si4_H0,2.0,2.8,1.9,1,1,0.3338654684362257,0.2533928094760069,0.5604252384422783
1,Si_O_H_vacuum1,Si_O2_Si5_H0,2.0,2.8,1.9,2,2,0.5752224547014148,0.49009584047923815,0.9496031645311832
0,Si_O_H_vacuum1,Si_O4_Si0_H0,1.8,2.6,1.7,156,1038,0.48316927804138465,0.36743104534665577,2.5047016205441075
