model,case,radius,ring,shear_MPa,stable,force_residual_eV_L0,minimum_H,defect_difference_to_original,defect_difference_to_twofold,closer_zero_core,winding,projected_cell_y,full_lattice_glide_verified,physical_time_hold,macroscopic_residual_strain
Mishin_target,negative_3_0MPa,20.0,5,-0.0,True,1.331338305224361e-09,0.042129069605402435,0.24056768623481836,0.17377661568984368,twofold,1.0000000000000004,-1.828275852433815,False,False,
joint_trial,positive_0_5MPa,8.0,5,5.0,True,2.517384876943307e-10,0.21626225126004092,0.00039604039150913057,0.2496576084895487,original,1.0000000000000002,0.38490017945975047,False,False,
joint_trial,positive_1_20MPa,8.0,5,20.0,True,1.845336262217527e-10,0.21644612979822064,0.001569490304702967,0.25054586150124486,original,1.0,0.38490017945975047,False,False,
joint_trial,positive_2_50MPa,8.0,5,50.0,True,4.852881261988365e-10,0.2167265147328547,0.0038584721089057303,0.25215769143482336,original,1.0,0.7698003589195009,False,False,
joint_trial,positive_3_0MPa,8.0,5,0.0,True,2.265877884735819e-09,0.21619453794812518,1.891909397133044e-09,0.24934810442285943,original,0.9999999999999999,0.38490017945975047,False,False,
joint_trial,negative_0_5MPa,8.0,5,-5.0,True,2.9664240768639827e-10,0.2161236309016869,0.00039862413400659416,0.24912521301282978,original,1.0,0.38490017945975047,False,False,
joint_trial,negative_1_20MPa,8.0,5,-20.0,True,3.417826143631286e-10,0.21589186208261646,0.0016108924325677777,0.24842874259813585,original,1.0,0.38490017945975047,False,False,
joint_trial,negative_2_50MPa,8.0,5,-50.0,True,4.16355310601732e-08,0.2153438510624437,0.004118181522700686,0.2469000081342407,original,1.0000000000000002,0.38490017945975047,False,False,
joint_trial,negative_3_0MPa,8.0,5,-0.0,True,4.021997789286844e-09,0.21619453795507862,1.3495620827867667e-09,0.24934810590174927,original,1.0,0.38490017945975047,False,False,
wider_trial,positive_0_5MPa,8.0,5,5.0,True,3.047371916441166e-10,0.197815810636694,0.00045919603013881715,0.24911355821859005,original,1.0,0.38490017945975047,False,False,
wider_trial,positive_1_20MPa,8.0,5,20.0,True,5.3365794612340867e-08,0.19811022213816465,0.0018187566839345012,0.2500591659018946,original,1.0,0.38490017945975047,False,False,
wider_trial,positive_2_50MPa,8.0,5,50.0,True,3.6454118326409435e-10,0.19855066108824082,0.0044873613889974675,0.25177178391326727,original,1.0000000000000002,0.7698003589195009,False,False,
wider_trial,positive_3_0MPa,8.0,5,0.0,True,6.382353139045005e-09,0.19770670090943032,7.980621597515284e-09,0.24878367953613803,original,1.0,0.38490017945975047,False,False,
wider_trial,negative_0_5MPa,8.0,5,-5.0,True,4.298723779261153e-08,0.19759210946634928,0.00046238945764462706,0.24854988341196868,original,0.9999999999999999,0.38490017945975047,False,False,
wider_trial,negative_1_20MPa,8.0,5,-20.0,True,3.1451140628489804e-10,0.19721547575585519,0.0018699994936632657,0.24782121833637852,original,1.0000000000000002,0.38490017945975047,False,False,
wider_trial,negative_2_50MPa,8.0,5,-50.0,True,2.50487153968023e-10,0.19631452758480625,0.004789800475902546,0.2462300247052543,original,1.0,0.38490017945975047,False,False,
wider_trial,negative_3_0MPa,8.0,5,-0.0,True,3.1711032671272177e-10,0.1977067007878846,1.0320216128586618e-09,0.24878367300783366,original,1.0,0.38490017945975047,False,False,
