case,radius_over_L0,inner_fraction,weighted_remainder_eV,continuum_subtraction_eV,finite_part_at_reference_b_eV,window_constant,window_series_tail,window_series_terms,log_coefficient_eV,core_radius_fitted,convergence_certified
radial_joint_stable_R10r7,4.5,0.5,0.4629323458974288,0.4054632242929064,0.057469121604522444,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,4.5,0.75,0.5071906524044143,0.4604739600267419,0.0467166923776724,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,5.0,0.5,0.49171602397607217,0.4409151123274092,0.05080091164866296,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,5.0,0.75,0.5372737567477206,0.4959258480612447,0.04134790868647592,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,5.5,0.5,0.5183492597086425,0.47298524601909325,0.04536401368954929,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,5.5,0.75,0.5649262821192599,0.5279959817529287,0.03693030036633116,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,6.0,0.5,0.5434229528758525,0.5022629842259025,0.041159968649949974,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,6.0,0.75,0.591343323783498,0.5572737199597381,0.0340696038237599,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,6.5,0.5,0.5669232428380289,0.5291958925616627,0.0377273502763662,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,6.5,0.75,0.6156573101069979,0.5842066282954982,0.03145068181149968,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,7.0,0.5,0.5890496248430815,0.5541318708534759,0.034917753989605615,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,7.0,0.75,0.6388205947119995,0.6091426065873113,0.029677988124688137,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,7.5,0.5,0.610108712950099,0.5773467112504017,0.03276200169969734,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,7.5,0.75,0.6605552200858322,0.6323574469842372,0.02819777310159499,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,8.0,0.5,0.6300588044561308,0.5990627441588987,0.03099606029723212,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,8.0,0.75,0.6813265439974985,0.6540734798927342,0.027253064104764246,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,8.5,0.5,0.6490521843503483,0.619461821473121,0.029590362877227272,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,8.5,0.75,0.7008957272172193,0.6744725572069565,0.02642317001026273,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,9.0,0.5,0.667207535672531,0.6386945831488952,0.028512952523635837,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,9.0,0.75,0.7196461547214793,0.6937053188827307,0.02594083583874862,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,9.5,0.5,0.6845334416198618,0.6568872150171327,0.027646226602729196,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,9.5,0.75,0.7374765800462932,0.7118979507509682,0.02557862929532506,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R10r7,10.0,0.5,0.7011232138601315,0.6741464711833981,0.026976742676733445,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R10r7,10.0,0.75,0.7545003701597762,0.7291572069172335,0.02534316324254271,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,2.0,0.5,0.26517405235469615,0.13260002644692123,0.13257402590777492,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,2.0,0.75,0.296202781630608,0.1876107621807567,0.10859201944985128,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,2.5,0.5,0.31605562827836453,0.20768375347142046,0.10837187480694407,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,2.5,0.75,0.35605689100604476,0.26269448920525595,0.09336240180078881,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,3.0,0.5,0.36027483034681673,0.2690316253699138,0.09124320497690291,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,3.0,0.75,0.4012028419438076,0.3240423611037493,0.07716048084005833,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,3.5,0.5,0.39939495751097154,0.32090051199748715,0.07849444551348439,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,3.5,0.75,0.44084337904239135,0.3759112477313227,0.06493213131106867,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,4.0,0.5,0.43387258004935114,0.36583138530291,0.06804119474644116,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,4.0,0.75,0.47743825881424673,0.4208421210367455,0.05659613777750122,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,4.5,0.5,0.4657097974229043,0.4054632242929064,0.06024657312999793,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,4.5,0.75,0.5105104610620068,0.4604739600267419,0.05003650103526491,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,5.0,0.5,0.4948626261307453,0.4409151123274092,0.05394751380333607,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,5.0,0.75,0.5410552018179409,0.4959258480612447,0.04512935375669619,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_stable_R8r7,5.5,0.5,0.5218828783022808,0.47298524601909325,0.0488976322831875,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_stable_R8r7,5.5,0.75,0.5691890289419839,0.5279959817529287,0.04119304718905514,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
