model,fraction,term,energy_eV_repeat,directional_work_eV,term_is_gauge_dependent,independent_physical_observable
joint_trial,0.25,D1,0.0040623480151317165,-0.003947582487983454,True,False
joint_trial,0.25,D2,0.3191194165976951,-0.009601635322054576,True,False
joint_trial,0.25,D_Eg,0.32828375453075626,0.04568128193848958,True,False
joint_trial,0.25,K3,0.0029761344429634065,0.0017939509614946503,True,False
joint_trial,0.5,u,0.31667250649477025,-0.048919218876058254,True,False
joint_trial,0.5,v,-0.15579617486050548,0.01830626896357598,True,False
joint_trial,0.5,A,-0.026783694704651074,-0.00015188806182589201,True,False
joint_trial,0.5,B,0.03303607211523532,0.0005661423042977113,True,False
joint_trial,0.5,C,0.008501054083156254,0.002618296440671013,True,False
joint_trial,0.5,D3,0.13605150361553178,0.08591352494372231,True,False
joint_trial,0.5,D1,0.003765450872239848,0.0017349756487266858,True,False
joint_trial,0.5,D2,0.31679000727076706,-0.008674688239820282,True,False
joint_trial,0.5,D_Eg,0.34104099132892285,0.05483106357174884,True,False
joint_trial,0.5,K3,0.003465129404524552,0.0021881531512054388,True,False
joint_trial,0.75,u,0.30645779155273317,-0.031007818471234197,True,False
joint_trial,0.75,v,-0.15243303746462644,0.007888671781704954,True,False
joint_trial,0.75,A,-0.027282367315140405,-0.003916836991549722,True,False
joint_trial,0.75,B,0.033788027500272634,0.005543467130129634,True,False
joint_trial,0.75,C,0.009588749577936862,0.006082778659344286,True,False
joint_trial,0.75,D3,0.16028739555530983,0.10531026474044522,True,False
joint_trial,0.75,D1,0.005058467765431573,0.00896586238006194,True,False
joint_trial,0.75,D2,0.31500480619992044,-0.005116303796961281,True,False
joint_trial,0.75,D_Eg,0.3551890388446952,0.05772782464536561,True,False
joint_trial,0.75,K3,0.004125141832700761,0.0032012159640203482,True,False
joint_trial,1.0,u,0.30218058134568826,-0.000987025009936336,True,False
joint_trial,1.0,v,-0.15227307393399253,-0.007561755476611976,True,False
joint_trial,1.0,A,-0.028791625934351667,-0.008272926471162692,True,False
joint_trial,1.0,B,0.03586650071796797,0.011221598173649035,True,False
joint_trial,1.0,C,0.011542441449082884,0.009547515056139594,True,False
joint_trial,1.0,D3,0.18781651696819693,0.11410331944975827,True,False
joint_trial,1.0,D1,0.008478167882736233,0.01895270531121939,True,False
joint_trial,1.0,D2,0.3144664727285732,0.0012543259100894159,True,False
joint_trial,1.0,D_Eg,0.36974968359109556,0.05878573223389195,True,False
joint_trial,1.0,K3,0.0050958207466045135,0.004559213774815364,True,False
