cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-2,P_-1,P_+0,P_+1,P_+2
11,cyclic,40.0,0.0027166768504525303,0.01840232674108805,0.0001260164862653887,0.000460829295117726,5.737187408790329e-08,5.7371874410788016e-08,0.01670753570629127,1.5528976513227412e-06,0.9999999999995666,-4.334310688136611e-13,5.852704832690287e-06,0.01528272251886399,0.01839446821339392,-0.0002989279030371341,-0.00030609597326474347,7.168070227606197e-06,5.852704834554617e-06,0.18380141281078172,5.012549540695075e-05,1.0487835940248898e-11,2.5043318417105986e-05,0.0076134110178849145,0.9847172774807025,0.007619186005572124,2.5082176989844765e-05
12,cyclic,40.0,0.0027110363278176337,0.018402326741083223,0.00012601648626586574,0.000460829306670099,5.736861568503265e-08,5.7368616038828995e-08,0.016707462436496595,1.552897680230172e-06,0.9999999999995268,-4.731770530952417e-13,5.910073448375319e-06,0.016638191973172144,0.018394468213390386,-0.0002988576635284973,-0.00030609599567394205,7.238332145445276e-06,5.910073450593446e-06,0.2005088752472783,6.030004101499498e-05,1.0487835940233975e-11,3.0128393327650134e-05,0.008286034183714083,0.9833618080263548,0.008291857748443066,3.0171647687344844e-05
13,cyclic,40.0,0.002705408833690358,0.01840232674107791,0.00012601648626647637,0.0004608293192983606,5.736528013393361e-08,5.73652805264004e-08,0.01670738138536984,1.5528977122922731e-06,0.9999999999994897,-5.102585021177219e-13,5.967438728509253e-06,0.017990847703850277,0.018394468213386715,-0.00029878743048153324,-0.00030609602045961887,7.308589978085253e-06,5.9674387311198465e-06,0.21721625663264815,7.140114419706888e-05,1.048783594021845e-11,3.5676712240288397e-05,0.008956787280178843,0.9820091522956396,0.008962659279474365,3.5724431956780476e-05
14,cyclic,40.0,0.0026997943364578344,0.01840232674107202,0.00012601648626688403,0.0004608293329987906,5.7361867669621395e-08,5.7361868121144166e-08,0.01670729258007378,1.5528977474982588e-06,0.9999999999994519,-5.481171072574398e-13,6.024800596178874e-06,0.019340696209380004,0.018394468213382364,-0.00029871720398215245,-0.0003060960476134807,7.378843631327064e-06,6.024800599240991e-06,0.23392354921272193,8.342556709320725e-05,1.0487835940202304e-11,4.1686656339988835e-05,0.00962567517525854,0.9806593037900719,0.009631595467028256,4.173891075321842e-05
15,cyclic,40.0,0.0026941928045752656,0.018402326741065615,0.00012601648626749638,0.0004608293477675893,5.735837862878228e-08,5.735837911629633e-08,0.01670719604769541,1.5528977858366482e-06,0.999999999999414,-5.859757123971576e-13,6.0821589748076565e-06,0.020687743972472365,0.018394468213378014,-0.0002986469841159083,-0.0003060960771272931,7.449093011384002e-06,6.082158978357287e-06,0.25063074526041734,9.637008084436706e-05,1.0487835940185536e-11,4.815661131187114e-05,0.010292702724547222,0.9793122560269417,0.010298671167080777,4.821346953249593e-05
16,cyclic,40.0,0.0026886042065826115,0.018402326741058704,0.00012601648626776873,0.00046082936360103475,5.7354813211548976e-08,5.7354813735741245e-08,0.0167070918152466,1.552897827296988e-06,0.9999999999993743,-6.257216966787382e-13,6.1395137880192055e-06,0.02203199746010686,0.01839446821337298,-0.0002985767709680047,-0.0003060961089927166,7.51933802471447e-06,6.139513792093028e-06,0.26733783707566394,0.00011023146556899885,1.0487835940168136e-11,5.5084967329493304e-05,0.010957874771284936,0.9779680025392673,0.010963891223252926,5.514649823950555e-05
17,zero_stress_hold,40.0,0.003925757871616122,0.01840171394108238,2.0092373241159533e-06,0.00014156855231684502,-5.195507094861943e-06,-5.195507095537843e-06,0.016689711686890207,0.0,0.9999999999990586,-9.413581025796702e-13,9.44006693157263e-07,0.02337254828705713,0.018402155540130305,8.16857778444686e-07,-3.393095775578181e-07,1.1561673560036914e-06,9.440066965551855e-07,0.28402754876255415,0.00012499695708251556,1.0576747647384418e-11,6.249221960148791e-05,0.01162331617952027,0.9766274517120015,0.011624235150454347,6.250473748102766e-05
18,zero_stress_hold,40.0,0.002677257587501521,0.018402163183439835,4.543547605859177e-09,1.5438082096671404e-07,-1.0985720999622498e-08,-1.0985721662600586e-08,0.01670509669590886,0.0,0.9999999999987403,-1.2596590437397026e-12,9.330209721576405e-07,0.024711120156657274,0.018402164988597213,1.142308846926505e-06,-4.0380362560452366e-10,1.1427126505508647e-06,9.33020974892585e-07,0.300732645458463,0.00014068062596188615,1.0576886429770614e-11,7.033344186685065e-05,0.012284766997089799,0.9752888798420829,0.012285672533605586,7.03471840950355e-05
19,zero_stress_hold,40.0,0.002671692208943109,0.01840216504305904,3.238744168687635e-11,1.8014375351847986e-10,-2.2666773483123318e-11,-2.2667479845179736e-11,0.01670511944821429,0.0,0.9999999999984162,-1.5838441669302483e-12,9.329983053841574e-07,0.026046917646349158,0.018402165055940917,1.1426880926783488e-06,3.203138672757481e-12,1.1426848895362905e-06,9.329983074127398e-07,0.3174377649066773,0.00015727129882843902,1.0576887421248732e-11,7.862846279727714e-05,0.012944371047841553,0.9739530823520671,0.012945275299679166,7.864283603116189e-05
20,zero_stress_hold,40.0,0.00266615605794116,0.01840216505632991,2.3136006999102676e-13,5.645493652432379e-12,-9.812341772729604e-12,-9.813111030688125e-12,0.016704985787304727,0.0,0.9999999999980933,-1.906697022491244e-12,9.329884930423847e-07,0.027379947037892274,0.018402165056421994,1.142676735405974e-06,3.863483234673961e-12,1.1426728719210279e-06,9.329884943017091e-07,0.334142750693982,0.00017476589914166305,1.0576887428327285e-11,8.737545430019446e-05,0.013602139065670059,0.9726200529602012,0.013603042073080551,8.739044484146858e-05
