model,model_sha256,anchor,signs,group,constraint,observable,upper_error_dual,lower_error_dual,equality_dual,bound_dual
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,D1,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,D2,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,D_Eg,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,K3,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,eta,,,,1.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,saddle_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,saddle_Hxx,-0.02205814788756419,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,fault_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,fault_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,saddle_normal_path_coupling,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,new_direct_017_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,new_direct_039_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,new_raised_direct_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,new_off_path_positive_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,new_off_path_negative_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,new_shockley_058_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_direct011_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_direct031_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_raised043_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_off_plus_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_off_minus_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_shockley043_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_opening1.21_Haa,-0.0,-0.20628905579631843,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_opening1.62_Haa,-0.0,-0.7716527963161174,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_opening1.93_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_opening2.71_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_opening4.3_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v16_opening6.2_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v17_near_0.985_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v17_near_1.015_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v17_near_1.065_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,target_interval,v17_near_1.095_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,normal_strain_force_ev,,,1.1472545492582225,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,cohesive_ev_atom,,,-0.006142206188852958,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,C11_GPa,,,0.1739374777416704,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,C12_GPa,,,-0.1840632427432054,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,C44_GPa,,,-0.05955698250611835,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,perfect_Haa,,,2.0497364154315703,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,exact_anchor,perfect_Hxx,,,-0.6506073939272466,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,u,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,v,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,A,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,B,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,C,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,D3,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,D1,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,D2,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,D_Eg,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,K3,,,,0.00521223028430106
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,nonnegative_bound,eta,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,saddle_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,saddle_Hxx,-0.3351926974814352,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,fault_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,fault_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,saddle_normal_path_coupling,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,new_direct_017_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,new_direct_039_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,new_raised_direct_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,new_off_path_positive_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,new_off_path_negative_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,new_shockley_058_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_direct011_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_direct031_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_raised043_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_off_plus_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_off_minus_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_shockley043_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_opening1.21_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_opening1.62_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_opening1.93_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_opening2.71_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_opening4.3_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v16_opening6.2_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_near_0.985_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_near_1.015_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_near_1.065_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_near_1.095_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_direct023_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_direct023_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_direct047_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_direct047_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_off_plus_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_off_plus_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_off_minus_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_off_minus_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_shockley067_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_shockley067_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_compression_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_compression_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,target_interval,v17_opening1.045_Haa,-0.0,-0.0,,
