observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
saddle_Hxx,fit,-0.18642463121762062,0.018642463121762064,eV/L0^2,12.75440386339144,-2.4128204235425357,-0.010842762287761753,0.021468892791376364,-0.0008536925203659084,0.0017109723960849477,-0.004137582176554456,0.06192933657348614,-0.04321885732475067,2.9352258285567174e-06
fault_Haa,fit,14.140554350039636,1.4140554350039638,eV/L0^2,246.7821635040119,-76.63751924434392,-1.1612511589042211,2.705275712457763,1.5040635562034619,0.13325503157898066,1.8397737194005848,0.8344359743151692,0.12143758371875661,0.0002661994283197734
fault_Hxx,fit,2.4858929774856264,0.24858929774856264,eV/L0^2,37.556966578806964,-7.479359511270396,-0.03392398787944955,0.06743991320611709,-0.0016176178520823546,0.031903744823663135,-0.009059823166063605,0.17533649544029742,0.47528795799128576,4.975334882131102e-05
saddle_normal_path_coupling,fit,1.2055891043737141,0.12055891043737142,eV/L0^2,26.953644594514284,-4.167952270323977,-0.012857310915121592,0.026704005865148598,0.0038231127917477967,0.004497436550276564,0.03759711148584213,0.21321995320208886,-0.14313274206876409,1.0933566641916438e-05
opening_1.1h_normal_force,fit,1.2761663221727821,0.03173805605024358,eV/L0,-13.140009835438864,12.078424133817926,0.6779059593127523,-1.327411374030837,0.10958133831698154,0.003743191277080237,0.12644391744480224,0.034553289865544415,0.2554898582698513,8.182887508285392e-07
opening_1.3h_normal_force,fit,1.4139711872929317,0.03173805605024358,eV/L0,-2.800423941740872,5.955915069432483,0.5105723104923076,-0.9634888590596941,0.20913295080466976,0.0001934607843200496,0.18282913733865033,0.008825433308799237,0.03246892247145653,7.068632284695139e-08
opening_1.5h_normal_force,fit,0.6379256757978651,0.03173805605024358,eV/L0,-0.6770830148594138,3.1846479938099925,0.3740599435719932,-0.685374180208767,0.21685877852172,-0.0005406153532175987,0.13525953122865841,0.002225258948445517,0.009430711222344018,-2.6784634056819274e-07
opening_2h_normal_force,fit,0.5548811295393773,0.03173805605024358,eV/L0,-0.03299509401998565,0.9061443679371256,0.15770495993814607,-0.2759837217858858,0.12661756681419975,0.00034531665374574116,0.03080631610239009,7.778827656464375e-05,0.0009183347143108867,1.629290495624879e-07
opening_2.5h_normal_force,fit,0.0005156382639574782,0.03173805605024358,eV/L0,-0.002976680018700903,0.3539933471547795,0.061421737580765565,-0.10532117056417235,0.054533309287464075,0.00010699010255608677,0.005006376413381143,2.175078382047125e-06,9.591831580380574e-05,6.071715048138799e-08
opening_3h_normal_force,fit,0.0,0.03173805605024358,eV/L0,-0.00041807160009169764,0.1692937130746691,0.02283103198372376,-0.0388217366618561,0.021027669839279298,1.7083721711606983e-05,0.0007206694053949191,5.1431286479211554e-08,9.480803209693444e-06,1.0063920411700206e-08
shockley_0.15_energy,fit,0.013715574532912111,0.004433026104653031,eV/cell,0.14246432744796877,-0.026810306699417138,-0.00011683419979258147,0.0002336751610170218,2.704730082749253e-08,0.00026543845794226847,1.814643695338472e-05,0.0007949664912533936,0.0019841541249501038,3.5227422425245345e-08
shockley_0.35_energy,fit,0.04820527408303389,0.004820527408303389,eV/cell,0.48012890467904584,-0.09144215354319354,-0.0004036281688004628,0.0008073365053853365,3.2073533248244917e-07,0.0010840845678351673,3.556229609695593e-05,0.002050852715791999,0.006198865762137377,5.875871513838027e-07
shockley_0.75_energy,fit,0.08334161260537679,0.00833416126053768,eV/cell,0.3189062566116784,-0.06111304139362446,-0.00028590734183575606,0.0005718522633697543,1.503393394118224e-07,0.0018977142421795704,3.072246840623157e-05,0.0015265597012077928,0.004270529712730456,1.8004476384673894e-06
new_direct_017_energy,fit,0.05826439239193282,0.0058264392391932825,eV/cell,0.6890841288964625,-0.12180879039174401,-0.0005148116087574373,0.0010297548808129164,5.267883267447141e-07,0.001054364430084092,0.00016298728560168438,0.0034211773053249355,0.010534000026711912,5.558252202210798e-07
new_direct_017_normal_force,fit,-0.44118804525591643,0.03173805605024358,eV/L0,-39.64012192005154,18.92667163351352,0.7744776473019406,-1.5492820992589365,-0.0013077214599710322,-0.006089417511602666,-0.0152515560841654,-0.059269985395729474,-0.20522147263967486,-6.4181802252533175e-06
new_direct_017_Haa,fit,26.109437232644353,2.6109437232644357,eV/L0^2,447.89771446661285,-97.1958423810752,-1.1919171363137882,2.803741390925556,1.6808767293710485,0.14361319002976972,2.3541616934889076,0.44936524448338133,2.647014550151301,0.00018738925248145788
new_direct_039_energy,fit,0.2262381941113307,0.022623819411133072,eV/cell,2.738626581052316,-0.4389960790349051,-0.0017786119935889744,0.003558795656420699,6.292251085987909e-06,0.0035393769034656837,0.0009192819973584084,0.006970863156388952,0.01902202038782868,6.263393473223389e-06
new_direct_039_normal_force,fit,-1.9685101248020884,0.03173805605024358,eV/L0,-71.03781413363988,22.229129584615894,0.7825420260545913,-1.5662274020227804,-0.004579479128283632,-0.019503059151803448,-0.0581099489178468,-0.04615989966143609,-0.07242213955346771,-6.900237409280899e-05
new_direct_039_Haa,fit,36.31678531793335,3.6316785317933356,eV/L0^2,947.2134029328271,-132.59033043268948,-1.2412494201449247,2.913904306807116,1.7300518607178774,0.16691830634151375,3.016274937969534,-0.7380407212919041,-1.1083875493586115,0.000966907012597361
new_raised_direct_energy,fit,0.11960599647825673,0.011960599647825674,eV/cell,-0.38613976002465866,0.6538369472071051,0.038406673573828876,-0.07629900811018886,0.0020259904295131205,0.0019415482369837017,0.0017823560117618848,0.0027583281165075063,0.011051529573550545,1.8827860650239335e-06
new_raised_direct_normal_force,fit,0.08783049166112324,0.03173805605024358,eV/L0,-29.501733864574547,15.56265123262832,0.7156915432019847,-1.4120514951058183,0.07555749768115498,-0.008245167519946917,0.07686742362392723,-0.04707241893746612,-0.03245440407707487,-1.607417037579519e-05
new_raised_direct_Haa,fit,20.00400949091716,2.000400949091716,eV/L0^2,353.310426323067,-82.46102968289951,-1.1695224533854094,2.6728673436215837,1.2715374582761305,0.07154562700713159,1.6944897649832544,1.2145971628924705,5.814301336396854,0.00020631863225270504
new_off_path_positive_energy,fit,0.05360470506556986,0.0053604705065569865,eV/cell,-0.6015788097898305,0.5285861510188727,0.02720913541802772,-0.05415967420892054,0.0010231858433652993,0.0009726566505860309,0.0010422405298647194,0.0011189340583011229,0.007292653560635168,4.7253337196906335e-07
new_off_path_positive_normal_force,fit,0.35206897342006,0.03173805605024358,eV/L0,-24.818815479064373,15.543246957040454,0.730766397141766,-1.4475749287958217,0.05492463429716403,-0.002920043511932127,0.06194676461142399,-0.00569093231354119,0.05261027942209145,-2.8660371001323553e-06
new_off_path_positive_Haa,fit,13.446420569551602,1.3446420569551603,eV/L0^2,266.1899134600456,-76.47826899469189,-1.1602673548986473,2.6767056714917308,1.3770979329226953,0.07464375246145756,1.7063061342333217,1.3133188965379334,1.2139585736215952,8.0568706115547e-05
new_off_path_negative_energy,fit,0.21544733160917068,0.021544733160917068,eV/cell,-0.8100633387644115,1.1378050966819986,0.0686016647205423,-0.13555289653752922,0.00642171365744707,0.0028080296074615226,0.005316954919443094,0.0019367577996263752,0.016070759929431307,3.933235908284823e-06
