observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
new_off_path_negative_energy,fit,0.21544733160917068,0.021544733160917068,eV/cell,-0.8100633387644115,1.1378050966819986,0.06756181185943277,-0.1335891883639302,0.005978058526562837,0.0036541813959641324,0.006282305523390288,0.001880462042178639,0.009890582889886932,6.67193848787797e-06
new_off_path_negative_normal_force,fit,-0.05312860042135701,0.03173805605024358,eV/L0,-26.425220156542927,13.766967012972895,0.6589313709975871,-1.2875901103474985,0.11636451636045797,-0.029902387603882762,0.17030056690321527,-0.03749162802943015,0.01028852783543864,-0.00010930800166592664
new_off_path_negative_Haa,fit,13.5831841481301,1.35831841481301,eV/L0^2,340.18167154128514,-77.38535636332202,-1.053746991788863,2.3607514946715047,0.9269883590216668,0.24478725330329093,1.8009569269419967,1.3976555212415327,1.3089915396144418,0.0017893155978457751
new_shockley_058_energy,fit,0.07969505412787091,0.007969505412787091,eV/cell,0.5559415166316186,-0.10630808635551629,-0.000390415186667159,0.0007809038632133891,2.9401583363385837e-07,0.002714533433480209,0.00011664088201995007,0.0021320172323516786,0.0057006258319791375,3.684204904198521e-06
new_shockley_058_normal_force,fit,-0.6123357455328253,0.03173805605024358,eV/L0,-37.4637115172476,18.748725527662263,0.755509421441945,-1.511251498739299,-0.000930889958882374,-0.02117828421883066,-0.028489251050835575,-0.0449235970842907,-0.01814846008106056,-5.747233723288654e-05
new_shockley_058_Haa,fit,23.107568998056017,2.3107568998056016,eV/L0^2,411.40361936333744,-95.08258927663553,-1.0824377790348978,2.547254810358818,1.5303588227396605,0.2680828126559276,3.8880858131800498,0.3878233842724166,3.0090412316952215,0.001174538457538835
new_opening_1.17h_energy,fit,0.14263027381623705,0.014263027381623706,eV/cell,-2.230783844927741,1.8078660373336013,0.09450482932568516,-0.1859738450228916,0.011698585731097643,0.0003427241334243766,0.01978781860869999,0.003224557253883094,0.011080070696317673,5.797933132046525e-08
new_opening_1.17h_normal_force,fit,1.6398229617729339,0.03173805605024358,eV/L0,-7.544122727098926,9.34481536801078,0.6108716597179245,-1.182177950492539,0.1495825489127014,0.001990937389927417,0.21358982529997445,0.01434472887146367,0.050133075436263656,6.703154021488131e-07
new_opening_1.42h_energy,fit,0.4226003973463561,0.042260039734635615,eV/cell,-2.9194658219764076,3.087311393934147,0.20028038770248102,-0.3866800456588029,0.05120097120962265,0.0005014149728512403,0.05890157580499501,0.004402897085169009,0.014215112284706403,1.227032044001225e-07
new_opening_1.42h_normal_force,fit,0.8686291067124379,0.03173805605024358,eV/L0,-1.1765659221121796,4.052023900116333,0.432333368712748,-0.8037368400821525,0.21537396902011463,0.0004578031707004195,0.14552113337965555,0.0018057072661099144,0.004924678836836875,2.2018323487995511e-07
