cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-2,P_-1,P_+0,P_+1,P_+2
11,cyclic,40.0,0.0027164539252649573,0.018402165056425376,2.723515857283587e-16,2.7079044804384103e-16,4.560222100132914e-16,-2.165693839539795e-17,0.016705922959072805,0.0,0.9999999999964655,-3.5345060211966484e-12,2.6358039015388263e-15,0.015280551188788863,0.018402165056425394,3.0898791665214667e-15,-1.3682168042026904e-16,3.2281873104036185e-15,-1.856255763248854e-16,0.18376745847017703,5.011100151384022e-05,1.0576887428361014e-11,2.5055500756922622e-05,0.007615220093636188,0.9847194488076767,0.0076152200936388335,2.5055500756917604e-05
12,cyclic,40.0,0.0027108143450681717,0.018402165056425394,3.400058012914542e-16,2.986645880584547e-16,4.681856031361937e-16,-2.324597220444702e-17,0.016705849716173032,0.0,0.9999999999961479,-3.852140828541906e-12,3.10398950467502e-15,0.01663590953498073,0.01840216505642553,3.682969788619808e-15,-1.1648645048904245e-16,3.801595226704049e-15,-2.0887154852933243e-16,0.20047330818635006,6.028320872921426e-05,1.057688742835765e-11,3.0141604364610445e-05,0.0082878131631242,0.9833640904611671,0.008287813163127317,3.0141604364603808e-05
13,cyclic,40.0,0.0027051877900975112,0.018402165056425376,4.0766001685454967e-16,3.5521354580241695e-16,5.31259064521094e-16,-2.307317748320714e-17,0.01670576869397239,0.0,0.9999999999958314,-4.168554390560075e-12,3.635248569196114e-15,0.017988454627129204,0.018402165056425255,4.398067900058962e-15,-5.5417219990694034e-17,4.452252041356553e-15,-2.3194472601253957e-16,0.21717907688032245,7.13818206056944e-05,1.0576887428354288e-11,3.569091030285156e-05,0.008958536403259929,0.9820115453687019,0.008958536403263582,3.5690910302842835e-05
14,cyclic,40.0,0.0026995742287448657,0.01840216505642538,2.723515857283587e-16,3.001842482969914e-16,5.361786318791126e-16,-1.6263032587282567e-17,0.016705679919623656,0.0,0.9999999999955133,-4.486744309417645e-12,4.171427201075227e-15,0.01933819296207829,0.01840216505642553,5.011012528508552e-15,-9.911163385305156e-17,5.1089340709002544e-15,-2.4820775859982214e-16,0.2338847567999461,8.340360009746422e-05,1.0576887428350934e-11,4.170180004873771e-05,0.009627394680988315,0.980661807033435,0.00962739468099251,4.170180004872652e-05
15,cyclic,40.0,0.0026939736294808504,0.01840216505642538,2.723515857283587e-16,3.403529311061553e-16,5.41653852850551e-16,-1.8587290994548367e-17,0.0167055834202052,0.0,0.999999999995191,-4.809042053466328e-12,4.7130810539257776e-15,0.020685131020906734,0.018402165056425255,5.69495611380526e-15,-7.809159073657083e-17,5.772321849248461e-15,-2.667950495943705e-16,0.2505903402201513,9.634531915659637e-05,1.0576887428347524e-11,4.81726595783052e-05,0.010294392850872698,0.9793148689742843,0.010294392850877439,4.817265957829118e-05
16,cyclic,40.0,0.0026883859608450955,0.018402165056425356,3.400058012914542e-16,3.445686623412901e-16,5.625382971985027e-16,-1.6581516975450183e-17,0.016705479222718866,0.0,0.9999999999948699,-5.130118552187923e-12,5.27561935112428e-15,0.02202927526896709,0.018402165056425394,6.384889253393689e-15,-7.495922851435326e-17,6.461287743703685e-15,-2.833765665698207e-16,0.2672958194428702,0.00011020375870963323,1.0576887428344139e-11,5.5101879354825243e-05,0.010959535755126072,0.9779707247259026,0.010959535755131382,5.510187935480799e-05
17,zero_stress_hold,40.0,0.0026828111914630913,0.018402165056425366,3.400058012914542e-16,3.6435173651769046e-16,6.288101549923646e-16,-2.117582368135751e-17,0.01670536735409245,0.0,0.9999999999945552,-5.444755757366693e-12,5.904429506116645e-15,0.023370632155924588,0.018402165056425394,7.120442673730021e-15,-1.1435459501392484e-16,7.231419756109533e-15,-3.045523902511782e-16,0.2840011867969626,0.00012497570863422697,1.0576887428340793e-11,6.248785431712414e-05,0.011622828223642207,0.9766293678386309,0.011622828223648154,6.248785431710285e-05
18,zero_stress_hold,40.0,0.0026772492900571706,0.018402165056425397,3.400058012914542e-16,4.214920118388964e-16,6.86571025732299e-16,-1.5246593050577406e-17,0.01670524784117844,0.0,0.9999999999942343,-5.7657212337858255e-12,6.591000531848944e-15,0.024709208115796053,0.018402165056425394,7.970592792132676e-15,-9.962106172633715e-17,8.07229409872123e-15,-3.197989833017556e-16,0.30070643463814106,0.0001406579677358386,1.0576887428337415e-11,7.032898386793207e-05,0.012284275074026787,0.9752907918784384,0.01228427507403343,7.032898386790652e-05
19,zero_stress_hold,40.0,0.0026717002253895754,0.01840216505642538,2.723515857283587e-16,4.6516846572691e-16,7.370948469708801e-16,-1.610040226140974e-17,0.016705120710754473,0.0,0.9999999999939122,-6.087796933229583e-12,7.328095378819824e-15,0.02604500956698861,0.01840216505642553,8.898110980127519e-15,-7.941044938092766e-17,8.975047232277983e-15,-3.3589938556316534e-16,0.31741155534889554,0.0001572473437244977,1.0576887428334009e-11,7.862367186226413e-05,0.012943881111628362,0.9739549904269237,0.012943881111635752,7.862367186223358e-05
20,zero_stress_hold,40.0,0.0026661639663250734,0.01840216505642537,3.400058012914542e-16,4.2735065931189084e-16,7.281772841026214e-16,-1.462317680139824e-17,0.016704985989524135,0.0,0.999999999993588,-6.411982056420129e-12,8.056272662922445e-15,0.02737804291233833,0.0184021650564258,9.757031531208744e-15,-1.0898099653221232e-16,9.866878626446526e-15,-3.505225623645636e-16,0.33411654133841967,0.0001747406531916196,1.057688742833059e-11,8.737032659582761e-05,0.013601651129569292,0.97262195708125,0.01360165112957742,8.7370326595792e-05
