layer,additional_slip_x_over_L0,additional_slip_y_over_L0,opening_change_over_L0,x_phase_dispersion,transverse_row_dispersion,minimum_scalar_x_partition_margin,distance_to_perfect_extra_registry,distance_to_extra_tau,distance_to_extra_2tau,closest_extra_registry_class,scalar_x_partition_is_not_vector_plastic_strain
13,-3.545747818332156e-12,4.041943919811265e-12,-8.212613980672901e-13,6.628196548856039e-11,6.786207497581639e-12,0.49999999998850475,5.376768382784076e-12,0.577350269184534,0.5773502691855837,0,True
14,-3.729858424007064e-12,4.6997955957657744e-12,1.8324691156888532e-13,5.381888782208108e-11,6.826617541863712e-12,0.4999999999877046,5.99999354208951e-12,0.5773502691840456,0.5773502691849259,0,True
15,-1.7217677512972993e-12,4.765263617934036e-12,2.2840248860893607e-13,4.894244425749785e-11,6.38098701244033e-12,0.49999999999048883,5.066776247064117e-12,0.577350269185752,0.5773502691848604,0,True
16,-3.729847634635504e-12,4.699856875477308e-12,1.83359587367619e-13,5.382876700259408e-11,6.322339861312358e-12,0.49999999998770306,6.000034835529489e-12,0.5773502691840458,0.5773502691849258,0,True
17,-3.545767121352941e-12,4.041902722691832e-12,-8.212894964138666e-13,6.628932673646418e-11,7.0785448565344035e-12,0.49999999998850597,5.376750142843832e-12,0.5773502691845341,0.5773502691855839,0,True
18,-1.9093912739153547e-12,3.9223388113597115e-12,-8.581656539792309e-14,6.567981128308796e-11,7.128399907759685e-12,0.49999999998763733,4.362398054740399e-12,0.577350269186011,0.5773502691857034,0,True
19,-2.66198228621196e-12,3.843263580983597e-12,-4.0869535320946755e-14,5.7384522904425995e-11,7.259083232331611e-12,0.499999999988205,4.675128302519741e-12,0.5773502691853988,0.5773502691857825,0,True
20,-1.8890916294618333e-12,1.9280281098810423e-12,2.7599344276884443e-13,7.667165754587378e-11,6.7723264415247535e-12,0.49999999998886435,2.6992516698141042e-12,0.5773502691870258,0.5773502691876977,0,True
21,-1.723294051667551e-12,1.4560914878164555e-12,2.9116601686516566e-13,7.547848524287061e-11,7.791927842109039e-12,0.4999999999862639,2.256090603101813e-12,0.5773502691874053,0.5773502691881697,0,True
22,-8.85951541737215e-13,1.995459375739204e-12,-3.8728545822189676e-13,5.3334758494245074e-11,5.397063977265385e-12,0.4999999999914385,2.183292984125594e-12,0.5773502691878608,0.5773502691876302,0,True
23,5.356284121004369e-13,-4.989114032627195e-13,-3.963960785655499e-13,5.16064115983999e-11,1.011027416399162e-11,0.49999999999125094,7.319906995002132e-13,0.5773502691891268,0.5773502691889124,0,True
24,-2.0927987441512428e-13,-1.8655807392348003e-12,-1.0193087530728842e-13,4.9416489742192126e-11,8.465102117731451e-12,0.4999999999919258,1.877282493509987e-12,0.5773502691877601,0.5773502691885116,0,True
25,1.2310514497765095e-12,-6.969397171446389e-13,5.838507738863113e-13,5.134226808774365e-11,9.887558338944969e-12,0.4999999999905976,1.414642230859271e-12,0.5773502691889081,0.5773502691882112,0,True
26,2.3702922080621385e-12,-2.305804168127816e-12,1.73417747275796e-13,5.0260015541081785e-11,9.978591593431564e-12,0.49999999999176264,3.306813876430861e-12,0.5773502691873199,0.5773502691864201,0,True
27,1.8611048014162598e-12,-4.336434684892572e-12,1.1092675969933784e-13,3.916686841851497e-11,6.3900131478627474e-12,0.49999999999351596,4.718938107052687e-12,0.5773502691852893,0.5773502691858459,0,True
28,3.222348544642422e-12,-3.6086413203496845e-12,-2.808810008229574e-13,4.611171038108396e-11,8.65874322728161e-12,0.4999999999894387,4.837956420028425e-12,0.5773502691860171,0.5773502691850309,0,True
29,3.1200156238922224e-12,-3.7214860254375e-12,-5.510425092954157e-14,5.184997094950843e-11,6.872383753098037e-12,0.49999999998929195,4.8563315095716205e-12,0.5773502691859043,0.5773502691850629,0,True
30,3.0380005305728067e-12,-4.756217608301157e-12,3.5036254407678086e-13,4.667198507203312e-11,8.258875258660008e-12,0.49999999998959044,5.64367372916566e-12,0.5773502691848695,0.5773502691846166,0,True
31,4.076610142280666e-12,-4.959073236822874e-12,1.7277660707249196e-13,4.376189164168888e-11,5.860702486264441e-12,0.49999999998895844,6.419591701994643e-12,0.5773502691846666,0.5773502691836158,0,True
