parts,block,nw,lo_cycles_ps,hi_cycles_ps,axis,scalar_eliminated_mobility_m2_J_s,full_projected_mobility_m2_J_s,full_to_scalar,covariance_condition,spectral_condition,drift_rescale_relative,diffusion_rescale_relative,spectral_rank,dimension,inversion_failure,wrong_unscaled_thermal_diffusion_factor,production_clock_calibrated
2,0,3.0,0.08,0.16,0,18900089685.652325,82352984881.8722,4.357280110918682,8.001791905161301,577.149125765385,1.0257744907421565e-16,7.942288770533603e-17,33,33,,576,False
2,0,3.0,0.08,0.16,1,54887249073.7475,160274884766.5789,2.9200750168992924,8.001791905161301,577.149125765385,1.0257744907421565e-16,7.942288770533603e-17,33,33,,576,False
2,1,2.0,0.02,0.04,0,10816143123.637682,,,9.307873967549297,5116623357479.627,,,33,33,condition*gamma_n exceeds 1% roundoff budget; no inverse mobility,576,False
2,1,2.0,0.02,0.04,1,91350083504.32893,,,9.307873967549297,5116623357479.627,,,33,33,condition*gamma_n exceeds 1% roundoff budget; no inverse mobility,576,False
2,1,2.0,0.04,0.08,0,10084106528.814482,182902001684.48282,18.137650684456357,9.307873967549297,5673.1428169399605,1.1298263459713616e-16,7.198730314273049e-17,33,33,,576,False
2,1,2.0,0.04,0.08,1,53857285451.447395,1070156450029.3378,19.870226303813418,9.307873967549297,5673.1428169399605,1.1298263459713616e-16,7.198730314273049e-17,33,33,,576,False
2,1,2.0,0.08,0.16,0,14969309702.713089,37270493059.539566,2.489793704567722,9.307873967549297,223.22825023733566,1.155362267937038e-16,7.973293042691843e-17,33,33,,576,False
2,1,2.0,0.08,0.16,1,51583658375.658,131450835437.87921,2.548303853918008,9.307873967549297,223.22825023733566,1.155362267937038e-16,7.973293042691843e-17,33,33,,576,False
2,1,3.0,0.02,0.04,0,10591116404.282255,,,9.307873967549297,334121396730443.3,,,32,33,numerically rank-deficient covariance/integral; no inverse mobility,576,False
2,1,3.0,0.02,0.04,1,107990209103.02765,,,9.307873967549297,334121396730443.3,,,32,33,numerically rank-deficient covariance/integral; no inverse mobility,576,False
2,1,3.0,0.04,0.08,0,9653696331.437874,1014524684893.3246,105.09183737108663,9.307873967549297,25229.449911034346,1.1624443235260919e-16,9.132354249662374e-17,33,33,,576,False
2,1,3.0,0.04,0.08,1,62170201161.45397,4319669424727.482,69.48134868519152,9.307873967549297,25229.449911034346,1.1624443235260919e-16,9.132354249662374e-17,33,33,,576,False
2,1,3.0,0.08,0.16,0,14341967926.328602,48287700156.26573,3.366881058743721,9.307873967549297,333.2373700302796,1.0539230308597346e-16,7.858765951647298e-17,33,33,,576,False
2,1,3.0,0.08,0.16,1,54217698464.19725,171684847895.51398,3.166583104018817,9.307873967549297,333.2373700302796,1.0539230308597346e-16,7.858765951647298e-17,33,33,,576,False
