candidate,protocol,traction_step_GPa,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period,a_error_angstrom,s_error_angstrom
angular_monotone_opening,normal,0.1,3,0.4,0.0,stable_local_equilibrium,5.551115123125783e-16,3,0.8187493767040744,-6.045358428244401e-17,5.7503337446534143e-05,-5.6895636344662094e-05,4.838772934527057,0.0027591000733753414,-6.045358428244401e-17,0.0,-1.5160484927318974e-16
angular_monotone_opening,normal,0.1,4,1.0,0.0,stable_local_equilibrium,1.149080830487037e-14,6,0.8222698979273897,-4.901830191043177e-17,0.0003714828217103168,-0.0003614526124142804,4.678809342541717,0.007070840386255941,-4.901830191043177e-17,3.179437228834644e-16,-3.3516775682263176e-16
angular_monotone_opening,normal,0.1,5,2.0,0.0,stable_local_equilibrium,3.0531133177191805e-15,10,0.8285654749018382,-3.211968565205405e-17,0.0015764170936089026,-0.0014879287737096447,4.410908948124246,0.014781315998162708,-3.211968565205405e-17,-6.358874457669288e-16,-2.942781836066369e-16
angular_monotone_opening,normal,0.1,6,4.0,0.0,stable_local_equilibrium,1.6653345369377348e-15,20,0.8432457759093179,-3.1966191819511123e-17,0.0072359857623679625,-0.0063474934316265635,3.8656389543482526,0.032760939367558306,-3.1966191819511123e-17,6.358874457669288e-16,-2.410316389003001e-16
angular_monotone_opening,normal,0.05,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17,0.0,0.0
angular_monotone_opening,normal,0.05,1,0.05,0.0,stable_local_equilibrium,1.820071870994866e-14,1,0.8167742880713811,-2.327058505807986e-17,8.819639645769507e-07,-8.808130135984425e-07,4.931913237369909,0.00034012039994032756,-2.327058505807986e-17,0.0,0.0
angular_monotone_opening,normal,0.05,2,0.15,0.0,stable_local_equilibrium,8.569533971325427e-15,2,0.8173329898720616,5.724695711599804e-17,7.979471855249314e-06,-7.948124518499016e-06,4.9053118953175785,0.0010243875649610362,5.724695711599804e-17,0.0,0.0
angular_monotone_opening,normal,0.05,3,0.4,0.0,stable_local_equilibrium,3.3306690738754696e-16,5,0.8187493767040744,-7.514909229685031e-18,5.7503337446619145e-05,-5.689563634457709e-05,4.838772934527055,0.0027591000733753414,-7.514909229685031e-18,0.0,0.0
angular_monotone_opening,normal,0.05,4,1.0,0.0,stable_local_equilibrium,7.077671781985373e-15,12,0.8222698979273896,6.80184357114777e-17,0.0003714828217101842,-0.0003614526124143989,4.678809342541722,0.007070840386255805,6.80184357114777e-17,0.0,0.0
angular_monotone_opening,normal,0.05,5,2.0,0.0,stable_local_equilibrium,1.4432899320127035e-15,20,0.8285654749018384,7.0638881845977e-17,0.0015764170936086765,-0.0014879287737099272,4.410908948124236,0.01478131599816298,7.0638881845977e-17,0.0,0.0
angular_monotone_opening,normal,0.05,6,4.0,0.0,stable_local_equilibrium,5.551115123125783e-16,40,0.8432457759093177,5.219929279624664e-17,0.007235985762367972,-0.006347493431626441,3.865638954348263,0.032760939367558035,5.219929279624664e-17,0.0,0.0
angular_monotone_opening,mixed,0.2,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17,0.0,0.0
angular_monotone_opening,mixed,0.2,1,0.5,0.2,stable_local_equilibrium,1.5508427875232655e-15,3,0.819353218886338,0.005278258056949717,0.0001592112942354208,-0.0001561342971032384,4.806114998475749,0.0034986526892326077,0.005278258056949717,0.0,-9.140882032899601e-16
angular_monotone_opening,mixed,0.2,2,1.0,0.4,stable_local_equilibrium,1.6861512186494565e-15,3,0.8223940591506991,0.010870221908060322,0.0006634592233510718,-0.000637238293746732,4.653963069142843,0.007222906207729814,0.010870221908060322,-3.179437228834644e-16,-1.246935538183587e-15
angular_monotone_opening,mixed,0.2,3,0.0,0.0,stable_local_equilibrium,1.583693173737125e-15,5,0.8164965809270467,1.4441897378422678e-17,2.303676270631682e-15,2.303676270631682e-15,4.945211215251887,-8.320248787768862e-13,1.4441897378422678e-17,-3.179437228834644e-16,-1.4809651989473503e-16
angular_monotone_opening,mixed,0.1,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17,0.0,0.0
angular_monotone_opening,mixed,0.1,1,0.5,0.2,stable_local_equilibrium,1.0755285551056204e-14,5,0.8193532188863379,0.005278258056949918,0.0001592112942361719,-0.00015613429710248537,4.806114998475753,0.003498652689232472,0.005278258056949918,-3.179437228834644e-16,-3.378152055636809e-16
angular_monotone_opening,mixed,0.1,2,1.0,0.4,stable_local_equilibrium,4.468647674116255e-15,5,0.8223940591506992,0.010870221908060555,0.0006634592233510174,-0.0006372382937468124,4.653963069142842,0.00722290620772995,0.010870221908060555,0.0,-5.812408683963333e-16
angular_monotone_opening,mixed,0.1,3,0.0,0.0,stable_local_equilibrium,5.364889216257583e-15,10,0.8164965809270465,5.981698603976522e-17,2.128096260131408e-15,2.128096260131408e-15,4.945211215251899,-8.322968267679883e-13,5.981698603976522e-17,-9.53831168650393e-16,-1.8152136692761686e-17
angular_monotone_opening,mixed,0.05,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17,0.0,0.0
angular_monotone_opening,mixed,0.05,1,0.5,0.2,stable_local_equilibrium,2.67841304690819e-15,10,0.819353218886338,0.005278258056950036,0.00015921129423548833,-0.00015613429710317897,4.806114998475745,0.0034986526892326077,0.005278258056950036,0.0,0.0
angular_monotone_opening,mixed,0.05,2,1.0,0.4,stable_local_equilibrium,4.468647674116255e-15,10,0.8223940591506992,0.010870221908060758,0.0006634592233509787,-0.0006372382937468615,4.6539630691428435,0.00722290620772995,0.010870221908060758,0.0,0.0
angular_monotone_opening,mixed,0.05,3,0.0,0.0,stable_local_equilibrium,2.6786503908562416e-15,20,0.8164965809270468,6.615550403901309e-17,2.6541767792316434e-15,2.6541767792316434e-15,4.945211215251884,-8.318889047813351e-13,6.615550403901309e-17,0.0,0.0
Mishin_source_rigid,normal,0.2,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,normal,0.2,1,0.05,0.0,stable_local_equilibrium,1.1622647289044608e-16,1,2.3391989983783854,2.917861476290673e-17,1.025799238094094e-06,-1.036462593425622e-06,0.5346769748581713,0.0003979047421212511,1.0188837710854941e-17,0.0,0.0
Mishin_source_rigid,normal,0.2,2,0.15,0.0,stable_local_equilibrium,4.215378046623641e-16,1,2.341054376080269,-1.9800560995756648e-17,9.25303153398449e-06,-9.27116064023563e-06,0.5326037187808271,0.0011913883092552217,-6.914128864887598e-18,0.0,-5.570678764127787e-17
Mishin_source_rigid,normal,0.2,3,0.4,0.0,stable_local_equilibrium,1.2073675392798577e-15,2,2.3457206633122216,-2.5849543114613968e-17,6.617660716881635e-05,-6.596433107332626e-05,0.5274101657412319,0.0031870047459100514,-9.026364062675342e-18,8.881784197001252e-16,4.3028465883106264e-17
Mishin_source_rigid,normal,0.2,4,1.0,0.0,stable_local_equilibrium,2.706168622523819e-16,3,2.3570935031231692,-1.0268641226332312e-16,0.00041963118518408005,-0.00041488211808095646,0.5149669628015872,0.008050791506133085,-3.585691775166086e-17,0.0,-3.8370739390809537e-16
Mishin_source_rigid,normal,0.2,5,2.0,0.0,stable_local_equilibrium,1.3877787807814457e-16,5,2.376613831093715,-2.1466849931066632e-17,0.0017203447912737813,-0.001679364284552658,0.4943857957351386,0.016398988993884495,-7.495977855294413e-18,0.0,-3.203021865510593e-17
Mishin_source_rigid,normal,0.2,6,4.0,0.0,stable_local_equilibrium,1.3600232051658168e-15,10,2.4178873046160008,-2.5107328615286165e-16,0.007231607589642669,-0.006886465984170141,0.45415197827717746,0.03405028606683454,-8.767191269801432e-17,0.0,-3.1492982885242477e-16
Mishin_source_rigid,normal,0.1,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,normal,0.1,1,0.05,0.0,stable_local_equilibrium,1.1622647289044608e-16,1,2.3391989983783854,2.917861476290673e-17,1.025799238094094e-06,-1.036462593425622e-06,0.5346769748581713,0.0003979047421212511,1.0188837710854941e-17,0.0,0.0
Mishin_source_rigid,normal,0.1,2,0.15,0.0,stable_local_equilibrium,4.215378046623641e-16,1,2.341054376080269,-1.9800560995756648e-17,9.25303153398449e-06,-9.27116064023563e-06,0.5326037187808271,0.0011913883092552217,-6.914128864887598e-18,0.0,-5.570678764127787e-17
Mishin_source_rigid,normal,0.1,3,0.4,0.0,stable_local_equilibrium,1.2073675392798577e-15,3,2.3457206633122216,-3.480617893944999e-18,6.617660716881635e-05,-6.596433107332626e-05,0.5274101657412319,0.0031870047459100514,-1.2153918595198759e-18,8.881784197001252e-16,6.539739110377523e-17
