case,j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
wider_core_R10r7,-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
wider_core_R10r7,-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
wider_core_R10r7,-14,0,-11.980018085684733,0.9889623474982352,0.0,0.0,0.9889623474982352,0.0,0.0,False
wider_core_R10r7,-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
wider_core_R10r7,-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
wider_core_R10r7,-11,0,-9.381941874331417,0.9861776162468678,0.00020663822350999538,0.00015298476616619814,0.9861776162468678,0.00020663822350999538,0.00015298476616619814,True
wider_core_R10r7,-10,0,-8.51591647054698,0.9850183248287661,0.0006273871948566987,4.249513044003446e-05,0.9850183248287661,0.0006273871948566987,4.249513044003446e-05,True
wider_core_R10r7,-9,0,-7.649891066762541,0.9835942287225223,0.001247739760862199,-2.5431485142828818e-05,0.9835942287225223,0.001247739760862199,-2.5431485142828818e-05,True
wider_core_R10r7,-8,0,-6.783865662978103,0.9818320476056,0.0019909491316502876,3.8723513448463354e-05,0.9818320476056,0.0019909491316502876,3.8723513448463354e-05,True
wider_core_R10r7,-7,0,-5.917840259193664,0.9796202951939483,0.0029205132264931506,0.00020251418554123916,0.9796202951939483,0.0029205132264931506,0.00020251418554123916,True
wider_core_R10r7,-6,0,-5.0518148554092255,0.9767824436575057,0.0041400583473534544,0.0004843660197652727,0.9767824436575057,0.0041400583473534544,0.0004843660197652727,True
wider_core_R10r7,-5,0,-4.185789451624787,0.9730061034092965,0.005758000967051414,0.0009339798820453345,0.9730061034092965,0.005758000967051414,0.0009339798820453345,True
wider_core_R10r7,-4,0,-3.319764047840348,0.9675930972766371,0.007950665891157426,0.0017292580230230835,0.9675930972766371,0.007950665891157426,0.0017292580230230835,True
wider_core_R10r7,-3,0,-2.4537386440559095,0.9588362790349482,0.010780666296236844,0.0031809841038493766,0.9588362790349482,0.010780666296236844,0.0031809841038493766,True
wider_core_R10r7,-2,0,-1.5877132402714706,0.9420207289175186,0.015353722671667909,0.005802467020345952,0.9420207289175186,0.015353722671667909,0.005802467020345952,True
wider_core_R10r7,-1,0,-0.7216878364870323,0.8972651744959101,0.022759995021629256,0.009971440930256384,0.8972651744959101,0.022759995021629256,0.009971440930256384,True
wider_core_R10r7,0,0,0.14433756729740643,0.7471478998373142,0.02861278973857595,0.02168396043868875,0.7471478998373142,0.02861278973857595,0.02168396043868875,True
wider_core_R10r7,1,0,1.010362971081845,0.24731783402398821,0.028825213555490854,0.020821102491569193,0.24731783402398821,0.028825213555490854,0.020821102491569193,True
wider_core_R10r7,2,0,1.8763883748662837,0.09893982566578932,0.02270313342727561,0.009420928684188722,0.09893982566578932,0.02270313342727561,0.009420928684188722,True
wider_core_R10r7,3,0,2.7424137786507226,0.055430345487031504,0.01525497692623012,0.005462032747535654,0.055430345487031504,0.01525497692623012,0.005462032747535654,True
wider_core_R10r7,4,0,3.608439182435161,0.03935383601188379,0.010675705297318523,0.0029492535791960546,0.03935383601188379,0.010675705297318523,0.0029492535791960546,True
wider_core_R10r7,5,0,4.474464586219599,0.030973169508865802,0.0077795652230795735,0.0015530721536658456,0.030973169508865802,0.0077795652230795735,0.0015530721536658456,True
wider_core_R10r7,6,0,5.340489990004038,0.02571631128933213,0.005544971192597442,0.000790751783923546,0.02571631128933213,0.005544971192597442,0.000790751783923546,True
wider_core_R10r7,7,0,6.206515393788477,0.022014615054350022,0.003890546562925055,0.00036321963446327935,0.022014615054350022,0.003890546562925055,0.00036321963446327935,True
wider_core_R10r7,8,0,7.072540797572915,0.01923150456388669,0.00263244304827545,0.00010659164133547231,0.01923150456388669,0.00263244304827545,0.00010659164133547231,True
wider_core_R10r7,9,0,7.938566201357354,0.017071874760530313,0.0016520732139239692,-1.3623851075048206e-05,0.017071874760530313,0.0016520732139239692,-1.3623851075048206e-05,True
wider_core_R10r7,10,0,8.804591605141791,0.015361881013778401,0.0008478713338453248,2.3895109519471523e-05,0.015361881013778401,0.0008478713338453248,2.3895109519471523e-05,True
wider_core_R10r7,11,0,9.670617008926232,0.013980160384412424,0.0002843659260289031,0.0001576524846657854,0.013980160384412424,0.0002843659260289031,0.0001576524846657854,True
wider_core_R10r7,12,0,10.53664241271067,0.012875733304131833,0.0,0.0,0.012875733304131833,0.0,0.0,False
wider_core_R10r7,13,0,11.402667816495107,0.011886078650749539,0.0,0.0,0.011886078650749539,0.0,0.0,False
wider_core_R10r7,14,0,12.268693220279548,0.011037652501764764,0.0,0.0,0.011037652501764764,0.0,0.0,False
wider_core_R10r7,15,0,13.134718624063986,0.010302245368216511,0.0,0.0,0.010302245368216511,0.0,0.0,False
wider_core_R10r7,16,0,14.000744027848423,0.009658689874752801,0.0,0.0,0.009658689874752801,0.0,0.0,False
wider_core_R10r7,17,0,14.866769431632862,0.009090792850203186,0.0,0.0,0.009090792850203186,0.0,0.0,False
wider_core_R10r7,18,0,15.732794835417302,0.008585955545546852,0.0,0.0,0.008585955545546852,0.0,0.0,False
wider_core_R10r7,19,0,16.59882023920174,0.0081342289141427,0.0,0.0,0.0081342289141427,0.0,0.0,False
wider_core_R10r7,20,0,17.464845642986177,0.0077276519258047596,0.0,0.0,0.0077276519258047596,0.0,0.0,False
wider_core_R10r7,21,0,18.330871046770618,0.0073597787051570655,0.0,0.0,0.0073597787051570655,0.0,0.0,False
wider_core_R10r7,22,0,19.196896450555055,0.007025334491300672,0.0,0.0,0.007025334491300672,0.0,0.0,False
wider_core_R10r7,23,0,20.062921854339493,0.006719961258107067,0.0,0.0,0.006719961258107067,0.0,0.0,False
wider_core_R10r7,24,0,20.928947258123934,0.006440026871926239,0.0,0.0,0.006440026871926239,0.0,0.0,False
wider_core_R10r7,25,0,21.79497266190837,0.006182480013523806,0.0,0.0,0.006182480013523806,0.0,0.0,False
wider_core_R10r7,26,0,22.66099806569281,0.005944738554098154,0.0,0.0,0.005944738554098154,0.0,0.0,False
wider_core_recovered_R8r5,-19,0,-16.310145104606928,0.9918657710858574,0.0,0.0,0.9918657710858574,0.0,0.0,False
wider_core_recovered_R8r5,-18,0,-15.444119700822489,0.9914140444544532,0.0,0.0,0.9914140444544532,0.0,0.0,False
wider_core_recovered_R8r5,-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
wider_core_recovered_R8r5,-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
wider_core_recovered_R8r5,-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
wider_core_recovered_R8r5,-14,0,-11.980018085684733,0.9889623474982352,0.0,0.0,0.9889623474982352,0.0,0.0,False
wider_core_recovered_R8r5,-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
wider_core_recovered_R8r5,-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
wider_core_recovered_R8r5,-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
wider_core_recovered_R8r5,-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
wider_core_recovered_R8r5,-9,0,-7.649891066762541,0.9831326380152741,0.00036269516599542006,0.0001845636615803936,0.9831326380152741,0.00036269516599542006,0.0001845636615803936,True
wider_core_recovered_R8r5,-8,0,-6.783865662978103,0.981419188220507,0.001133117665694601,3.0874148397657623e-06,0.981419188220507,0.001133117665694601,3.0874148397657623e-06,True
wider_core_recovered_R8r5,-7,0,-5.917840259193664,0.9792715661446785,0.0021335507057400113,-4.421854203161724e-05,0.9792715661446785,0.0021335507057400113,-4.421854203161724e-05,True
wider_core_recovered_R8r5,-6,0,-5.0518148554092255,0.9764916722770225,0.003421095219741687,0.00012402258651756954,0.9764916722770225,0.003421095219741687,0.00012402258651756954,True
wider_core_recovered_R8r5,-5,0,-4.185789451624787,0.9727608995584965,0.005071708247502143,0.0005478318757203408,0.9727608995584965,0.005071708247502143,0.0005478318757203408,True
wider_core_recovered_R8r5,-4,0,-3.319764047840348,0.9673682024842926,0.007279786500057323,0.0013696351297820234,0.9673682024842926,0.007279786500057323,0.0013696351297820234,True
wider_core_recovered_R8r5,-3,0,-2.4537386440559095,0.9585756169902786,0.010100503268621117,0.002880561799443096,0.9585756169902786,0.010100503268621117,0.002880561799443096,True
wider_core_recovered_R8r5,-2,0,-1.5877132402714706,0.9416364392942895,0.014670317975339717,0.005574259043781825,0.9416364392942895,0.014670317975339717,0.005574259043781825,True
wider_core_recovered_R8r5,-1,0,-0.7216878364870323,0.8966368425878373,0.02208380162957521,0.00987017329462644,0.8966368425878373,0.02208380162957521,0.00987017329462644,True
wider_core_recovered_R8r5,0,0,0.14433756729740643,0.7461108591510685,0.027967659433562463,0.021851033627142094,0.7461108591510685,0.027967659433562463,0.021851033627142094,True
wider_core_recovered_R8r5,1,0,1.010362971081845,0.2461091157047286,0.028263777751661105,0.02064751634521464,0.2461091157047286,0.028263777751661105,0.02064751634521464,True
wider_core_recovered_R8r5,2,0,1.8763883748662837,0.09802113908813892,0.02199801548637047,0.009089339743143566,0.09802113908813892,0.02199801548637047,0.009089339743143566,True
wider_core_recovered_R8r5,3,0,2.7424137786507226,0.05477563181505843,0.014514797431826853,0.005102278001713409,0.05477563181505843,0.014514797431826853,0.005102278001713409,True
wider_core_recovered_R8r5,4,0,3.608439182435161,0.038887388459655635,0.009921340446753024,0.002545527349514772,0.038887388459655635,0.009921340446753024,0.002545527349514772,True
wider_core_recovered_R8r5,5,0,4.474464586219599,0.030631695735157016,0.006987805546006512,0.0011150857283061316,0.030631695735157016,0.006987805546006512,0.0011150857283061316,True
wider_core_recovered_R8r5,6,0,5.340489990004038,0.025470295331413668,0.004700826948120568,0.00035770021907381743,0.025470295331413668,0.004700826948120568,0.00035770021907381743,True
wider_core_recovered_R8r5,7,0,6.206515393788477,0.021861770598259084,0.0029522192514343953,2.8078847125481807e-05,0.021861770598259084,0.0029522192514343953,2.8078847125481807e-05,True
wider_core_recovered_R8r5,8,0,7.072540797572915,0.019176494898041706,0.0015836482178146287,-1.0194402087033635e-06,0.019176494898041706,0.0015836482178146287,-1.0194402087033635e-06,True
wider_core_recovered_R8r5,9,0,7.938566201357354,0.017101377074510732,0.0005343617797089974,0.00019585974010401962,0.017101377074510732,0.0005343617797089974,0.00019585974010401962,True
wider_core_recovered_R8r5,10,0,8.804591605141791,0.015447840188074897,0.0,0.0,0.015447840188074897,0.0,0.0,False
wider_core_recovered_R8r5,11,0,9.670617008926232,0.014045060544141893,0.0,0.0,0.014045060544141893,0.0,0.0,False
wider_core_recovered_R8r5,12,0,10.53664241271067,0.012875733304131833,0.0,0.0,0.012875733304131833,0.0,0.0,False
wider_core_recovered_R8r5,13,0,11.402667816495107,0.011886078650749539,0.0,0.0,0.011886078650749539,0.0,0.0,False
wider_core_recovered_R8r5,14,0,12.268693220279548,0.011037652501764764,0.0,0.0,0.011037652501764764,0.0,0.0,False
wider_core_recovered_R8r5,15,0,13.134718624063986,0.010302245368216511,0.0,0.0,0.010302245368216511,0.0,0.0,False
wider_core_recovered_R8r5,16,0,14.000744027848423,0.009658689874752801,0.0,0.0,0.009658689874752801,0.0,0.0,False
wider_core_recovered_R8r5,17,0,14.866769431632862,0.009090792850203186,0.0,0.0,0.009090792850203186,0.0,0.0,False
wider_core_recovered_R8r5,18,0,15.732794835417302,0.008585955545546852,0.0,0.0,0.008585955545546852,0.0,0.0,False
wider_core_recovered_R8r5,19,0,16.59882023920174,0.0081342289141427,0.0,0.0,0.0081342289141427,0.0,0.0,False
